fault_number,net,site_type,gate,stuck_at
148,201,branch,529,1
149,201,branch,651,1
150,201,branch,654,0
151,201,net,,0
152,201,net,,1
153,207,branch,520,1
154,207,branch,521,0
155,207,net,,0
156,207,net,,1
157,210,branch,332,1
158,210,branch,333,1
159,210,branch,334,1
160,210,branch,335,1
161,210,branch,336,1
162,210,branch,338,1
163,210,branch,340,1
164,210,branch,417,1
165,210,net,,0
166,210,net,,1
167,219,branch,794,1
168,219,branch,808,1
169,219,branch,809,1
170,219,branch,810,1
171,219,branch,836,1
172,219,branch,851,1
173,219,branch,852,1
174,219,branch,853,1
175,219,net,,0
176,219,net,,1
177,228,branch,736,1
178,228,branch,739,1
179,228,branch,742,1
180,228,branch,745,1
181,228,branch,748,1
182,228,branch,751,1
183,228,branch,754,1
184,228,branch,759,1
185,228,net,,0
186,228,net,,1
187,237,branch,737,1
188,237,branch,740,1
189,237,branch,743,1
190,237,branch,746,1
191,237,branch,749,1
192,237,branch,752,1
193,237,branch,755,1
194,237,branch,760,1
195,237,net,,0
196,237,net,,1
197,246,branch,596,1
198,246,branch,605,1
199,246,branch,615,1
200,246,branch,624,1
201,246,branch,631,1
202,246,branch,640,1
203,246,branch,650,1
204,246,branch,659,1
205,246,net,,0
206,246,net,,1
207,255,branch,337,1
208,255,branch,339,1
209,255,branch,341,1
210,255,net,,0
211,255,net,,1
212,259,net,,0
213,259,net,,1
214,26,branch,270,1
215,26,branch,276,1
216,26,net,,0
217,26,net,,1
218,260,net,,0
219,260,net,,1
220,261,branch,732,1
221,261,branch,733,1
222,261,branch,734,1
223,261,branch,757,0
224,261,branch,758,1
225,261,net,,0
226,261,net,,1
227,267,net,,0
228,267,net,,1
229,268,net,,0
230,268,net,,1
231,269,net,,1
232,270,branch,344,0
233,270,branch,392,0
234,270,net,,1
235,273,branch,344,0
236,273,net,,0
237,276,net,,0
238,280,branch,348,0
239,280,branch,349,0
240,280,branch,350,0
241,280,net,,1
242,284,net,,1
243,285,net,,1
244,286,net,,1
245,287,branch,432,1
246,287,branch,437,1
247,287,net,,0
248,29,branch,273,1
249,29,branch,285,1
250,29,branch,287,1
251,29,branch,290,1
252,29,branch,291,1
253,29,branch,292,1
254,29,net,,0
255,29,net,,1
256,290,net,,0
257,291,net,,0
258,292,net,,0
259,293,net,,0
260,294,net,,0
261,295,net,,0
262,296,net,,0
263,297,net,,0
264,298,branch,355,1
265,298,branch,356,1
266,298,net,,1
267,301,net,,1
268,302,net,,1
269,303,net,,1
270,304,net,,1
271,305,net,,1
272,306,net,,1
273,307,net,,1
274,308,net,,1
275,309,net,,0
276,310,branch,476,1
277,310,branch,478,1
278,310,branch,480,1
279,310,branch,482,1
280,316,net,,0
281,317,net,,0
282,319,branch,427,1
283,319,branch,443,1
284,319,net,,1
285,322,net,,0
286,323,net,,0
287,324,net,,1
288,325,net,,1
289,326,net,,1
290,327,net,,1
291,328,net,,1
292,329,net,,1
293,330,net,,1
294,331,net,,1
295,332,net,,0
296,333,net,,0
297,334,net,,0
298,335,net,,0
299,336,net,,0
300,338,net,,0
301,340,net,,0
302,343,net,,0
303,343,net,,1
304,344,net,,1
305,345,net,,0
306,345,net,,1
307,346,net,,0
308,346,net,,1
309,355,net,,1
310,356,net,,0
311,357,branch,406,1
312,36,branch,273,1
313,36,branch,291,1
314,36,branch,292,1
315,36,branch,295,1
316,36,branch,296,1
317,36,net,,0
318,36,net,,1
319,360,branch,406,1
320,363,branch,409,1
321,366,branch,409,1
322,369,branch,417,1
323,369,branch,488,0
324,369,branch,489,0
325,369,branch,490,0
326,369,branch,491,0
327,369,net,,0
328,369,net,,1
329,376,branch,413,1
330,379,branch,413,1
331,382,branch,416,1
332,385,branch,416,1
333,388,net,,0
334,388,net,,1
335,389,net,,0
336,389,net,,1
337,390,net,,0
338,390,net,,1
339,391,net,,0
340,391,net,,1
341,393,branch,427,1
342,393,branch,432,1
343,393,branch,437,1
344,393,branch,442,1
345,393,branch,443,1
346,404,net,,0
347,404,net,,1
348,405,net,,1
349,406,net,,0
350,407,net,,0
351,407,net,,1
352,408,net,,1
353,409,net,,0
354,411,net,,0
355,411,net,,1
356,412,net,,1
357,413,net,,0
358,414,net,,0
359,414,net,,1
360,415,net,,1
361,416,net,,0
362,417,net,,0
363,418,net,,0
364,418,net,,1
365,419,net,,0
366,419,net,,1
367,42,branch,273,1
368,42,branch,284,1
369,42,branch,290,1
370,42,branch,292,1
371,42,branch,294,1
372,42,branch,296,1
373,42,branch,322,0
374,42,branch,323,1
375,42,net,,0
376,42,net,,1
377,420,net,,0
378,420,net,,1
379,421,net,,0
380,421,net,,1
381,422,net,,0
382,422,net,,1
383,423,net,,0
384,423,net,,1
385,427,branch,475,1
386,427,branch,477,1
387,427,branch,479,1
388,427,branch,481,1
389,427,net,,0
390,432,branch,476,1
391,432,branch,478,1
392,432,branch,480,1
393,432,branch,482,1
394,432,net,,0
395,437,branch,488,0
396,437,branch,489,0
397,437,branch,490,0
398,437,branch,491,0
399,437,net,,1
400,443,net,,1
401,446,net,,0
402,446,net,,1
403,447,net,,0
404,447,net,,1
405,448,net,,0
406,448,net,,1
407,449,net,,0
408,449,net,,1
409,450,net,,0
410,450,net,,1
411,451,branch,522,1
412,451,branch,523,1
413,451,branch,524,1
414,451,branch,525,1
415,451,branch,526,1
416,451,branch,527,1
417,451,branch,528,1
418,451,branch,529,1
419,460,branch,498,1
420,460,branch,499,0
421,463,branch,500,1
422,463,branch,501,0
423,466,branch,502,1
424,466,branch,504,1
425,466,branch,506,1
426,466,branch,508,1
427,466,branch,511,1
428,466,branch,513,1
429,466,branch,515,1
430,466,branch,517,1
431,475,net,,0
432,476,net,,0
433,477,net,,0
434,478,net,,0
435,479,net,,0
436,480,net,,0
437,481,net,,0
438,482,net,,0
439,483,branch,510,1
440,483,branch,512,1
441,483,branch,514,1
442,483,branch,516,1
443,488,net,,1
444,489,net,,1
445,490,net,,1
446,491,net,,1
447,492,branch,518,1
448,492,branch,519,0
449,495,branch,520,1
450,495,branch,521,0
451,498,net,,1
452,499,net,,1
453,500,net,,1
454,501,net,,1
455,502,net,,0
456,504,net,,0
457,506,net,,0
458,508,net,,0
459,51,branch,276,1
460,51,branch,279,1
461,51,branch,316,1
462,51,net,,0
463,51,net,,1
464,510,net,,0
465,511,net,,0
466,512,net,,0
467,513,net,,0
468,514,net,,0
469,515,net,,0
470,516,net,,0
471,517,net,,0
472,518,net,,1
473,519,net,,1
474,520,net,,1
475,521,net,,1
476,522,net,,0
477,523,net,,0
478,524,net,,0
479,525,net,,0
480,526,net,,0
481,527,net,,1
482,528,net,,1
483,529,net,,1
484,530,branch,552,1
485,533,branch,552,1
486,544,branch,587,1
487,547,branch,587,1
488,55,branch,280,1
489,55,branch,427,1
490,55,branch,437,1
491,55,net,,0
492,55,net,,1
493,550,net,,0
494,550,net,,1
495,551,net,,1
496,552,net,,0
497,553,branch,590,1
498,553,branch,593,0
499,553,branch,596,1
500,557,branch,597,1
501,557,branch,600,0
502,557,branch,605,1
503,561,branch,606,1
504,561,branch,609,0
505,561,branch,615,1
506,565,branch,616,1
507,565,branch,619,0
508,565,branch,624,1
509,569,branch,625,1
510,569,branch,628,0
511,569,branch,631,1
512,573,branch,632,1
513,573,branch,635,0
514,573,branch,640,1
515,577,branch,641,1
516,577,branch,644,0
517,577,branch,650,1
518,581,branch,651,1
519,581,branch,654,0
520,581,branch,659,1
521,585,net,,0
522,585,net,,1
523,586,net,,1
524,587,net,,0
525,59,branch,284,1
526,59,branch,286,1
527,59,branch,293,1
528,59,branch,294,1
529,59,branch,295,1
530,59,branch,296,1
531,59,branch,319,1
532,59,branch,442,1
533,59,net,,0
534,59,net,,1
535,590,branch,665,1
536,590,net,,1
537,593,branch,665,1
538,593,branch,841,1
539,593,net,,1
540,596,net,,0
541,597,branch,673,1
542,597,net,,1
543,600,branch,673,1
544,600,branch,765,1
545,600,branch,766,1
546,600,branch,814,1
547,600,net,,1
548,605,net,,0
549,606,branch,682,1
550,606,net,,1
551,609,branch,682,1
552,609,branch,764,1
553,609,branch,766,1
554,609,branch,813,1
555,609,branch,814,1
556,609,net,,1
557,615,net,,0
558,616,branch,692,1
559,616,net,,1
560,619,branch,692,1
561,619,branch,812,1
562,619,branch,813,1
563,619,branch,814,1
564,619,net,,1
565,624,net,,0
566,625,branch,700,1
567,625,net,,1
568,628,branch,700,1
569,628,branch,795,1
570,628,net,,1
571,631,net,,0
572,632,branch,708,1
573,632,net,,1
574,635,branch,708,1
575,635,branch,734,1
576,635,branch,762,1
577,635,branch,763,1
578,635,net,,1
579,640,net,,0
580,641,branch,717,1
581,641,net,,1
582,644,branch,717,1
583,644,branch,733,1
584,644,branch,734,1
585,644,branch,761,1
586,644,branch,763,1
587,644,net,,1
588,650,net,,0
589,651,branch,727,1
590,651,net,,1
591,654,branch,727,1
592,654,branch,732,1
593,654,branch,733,1
594,654,branch,734,1
595,654,net,,1
596,659,net,,0
597,662,branch,737,1
598,662,net,,0
599,662,net,,1
600,665,branch,736,1
601,665,branch,830,0
602,665,branch,831,1
603,665,net,,0
604,670,branch,740,1
605,670,net,,0
606,670,net,,1
607,673,branch,739,1
608,673,branch,832,0
609,673,branch,833,1
610,673,net,,0
611,678,branch,743,1
612,678,branch,765,1
613,678,net,,0
614,678,net,,1
615,68,branch,284,1
616,68,branch,285,1
617,68,branch,286,1
618,68,net,,0
619,68,net,,1
620,682,branch,742,1
621,682,branch,834,0
622,682,branch,835,1
623,682,net,,0
624,687,branch,746,1
625,687,branch,764,1
626,687,branch,766,1
627,687,net,,0
628,687,net,,1
629,692,branch,745,1
630,692,branch,806,0
631,692,branch,807,1
632,692,net,,0
633,697,branch,749,1
634,697,net,,0
635,697,net,,1
636,700,branch,748,1
637,700,branch,788,0
638,700,branch,789,1
639,700,net,,0
640,705,branch,752,1
641,705,net,,0
642,705,net,,1
643,708,branch,751,1
644,708,branch,790,0
645,708,branch,791,1
646,708,net,,0
647,713,branch,755,1
648,713,branch,762,1
649,713,net,,0
650,713,net,,1
651,717,branch,754,1
652,717,branch,792,0
653,717,branch,793,1
654,717,net,,0
655,72,net,,1
656,722,branch,760,1
657,722,branch,761,1
658,722,branch,763,1
659,722,net,,0
660,722,net,,1
661,727,branch,757,0
662,727,branch,758,1
663,727,branch,759,1
664,727,net,,0
665,73,net,,1
666,732,net,,1
667,733,net,,1
668,734,net,,1
669,735,net,,1
670,736,net,,0
671,737,net,,0
672,738,net,,1
673,739,net,,0
674,74,net,,1
675,740,net,,0
676,741,net,,1
677,742,net,,0
678,743,net,,0
679,744,net,,1
680,745,net,,0
681,746,net,,0
682,747,net,,1
683,748,net,,0
684,749,net,,0
685,75,branch,287,1
686,75,branch,290,1
687,75,branch,293,1
688,75,branch,294,1
689,75,net,,0
690,75,net,,1
691,750,net,,1
692,751,net,,0
693,752,net,,0
694,753,net,,1
695,754,net,,0
696,755,net,,0
697,756,net,,1
698,757,net,,0
699,758,net,,0
700,759,net,,0
701,760,net,,0
702,761,net,,1
703,762,net,,1
704,763,net,,1
705,764,net,,1
706,765,net,,1
707,766,net,,1
708,767,net,,0
709,767,net,,1
710,768,net,,0
711,768,net,,1
712,773,branch,788,0
713,773,branch,789,1
714,773,branch,795,1
715,778,branch,790,0
716,778,branch,791,1
717,782,branch,792,0
718,782,branch,793,1
719,788,net,,0
720,789,net,,0
721,790,net,,0
722,791,net,,0
723,792,net,,0
724,793,net,,0
725,795,net,,1
726,796,branch,806,0
727,796,branch,807,1
728,796,branch,812,1
729,796,branch,813,1
730,796,branch,814,1
731,8,branch,269,1
732,8,branch,279,1
733,8,branch,280,1
734,8,branch,309,1
735,8,net,,0
736,8,net,,1
737,80,branch,287,1
738,80,branch,291,1
739,80,branch,293,1
740,80,branch,295,1
741,80,net,,0
742,80,net,,1
743,806,net,,0
744,807,net,,0
745,812,net,,1
746,813,net,,1
747,814,net,,1
748,815,branch,830,0
749,815,branch,831,1
750,815,branch,841,1
751,819,branch,832,0
752,819,branch,833,1
753,822,branch,834,0
754,822,branch,835,1
755,830,net,,0
756,831,net,,0
757,832,net,,0
758,833,net,,0
759,834,net,,0
760,835,net,,0
761,841,net,,1
762,85,net,,1
763,850,net,,0
764,850,net,,1
765,86,net,,1
766,863,net,,0
767,863,net,,1
768,864,net,,0
769,864,net,,1
770,865,net,,0
771,865,net,,1
772,866,net,,0
773,866,net,,1
774,87,net,,0
775,874,net,,0
776,874,net,,1
777,878,net,,0
778,878,net,,1
779,879,net,,0
780,879,net,,1
781,88,net,,0
782,880,net,,0
783,880,net,,1
784,89,net,,1
785,90,net,,1
786,91,branch,301,1
787,91,branch,302,0
788,91,branch,332,1
789,91,branch,502,1
790,91,net,,0
791,91,net,,1
792,96,branch,301,1
793,96,branch,302,0
794,96,branch,333,1
795,96,branch,504,1
796,96,net,,0
797,96,net,,1
