fault_id,fault,s1_detected,s1_detecting_vectors,s1_first_detected,s1_po_mismatches,s2b_detected,s2b_detecting_vectors,s2b_first_detected,s2b_po_mismatches,detection_improved,detection_lost,detecting_vector_change,po_mismatch_change
43,126/SA1,True,520,2.0,535,True,502,1.0,512,False,False,-18,-23
44,13->269/SA1,True,58,29.0,58,True,66,9.0,66,False,False,8,8
45,13->270/SA1,True,65,21.0,65,True,56,9.0,56,False,False,-9,-9
46,13->280/SA1,True,20,13.0,25,True,18,57.0,21,False,False,-2,-4
47,13/SA0,True,91,9.0,136,True,90,12.0,126,False,False,-1,-10
48,13/SA1,True,111,13.0,148,True,105,9.0,143,False,False,-6,-5
49,130->498/SA1,True,250,7.0,250,True,255,2.0,255,False,False,5,5
50,130->499/SA0,True,276,2.0,276,True,263,6.0,263,False,False,-13,-13
51,130->518/SA1,True,226,3.0,226,True,259,2.0,259,False,False,33,33
52,130->519/SA0,True,287,5.0,287,True,256,5.0,256,False,False,-31,-31
53,130/SA0,True,552,2.0,1104,True,509,5.0,1018,False,False,-43,-86
54,130/SA1,True,472,1.0,944,True,515,1.0,1030,False,False,43,86
55,135->500/SA1,True,262,11.0,262,True,236,6.0,236,False,False,-26,-26
56,135->501/SA0,True,257,1.0,257,True,241,1.0,241,False,False,-16,-16
57,135/SA0,True,491,1.0,491,True,525,1.0,525,False,False,34,34
58,135/SA1,True,533,2.0,533,True,499,6.0,499,False,False,-34,-34
59,138->309/SA1,True,181,14.0,209,True,184,6.0,220,False,False,3,11
60,138->316/SA1,True,159,5.0,192,True,173,3.0,204,False,False,14,12
61,138->317/SA1,True,136,2.0,154,True,144,3.0,173,False,False,8,19
62,138->318/SA1,True,147,14.0,176,True,156,7.0,182,False,False,9,6
63,138/SA0,True,407,1.0,722,True,369,1.0,689,False,False,-38,-33
64,138/SA1,True,369,2.0,669,True,390,3.0,684,False,False,21,15
65,143->475/SA1,True,17,77.0,20,True,20,70.0,27,False,False,3,7
66,143->510/SA1,True,154,6.0,185,True,148,5.0,188,False,False,-6,3
67,143/SA0,True,158,1.0,182,True,155,2.0,204,False,False,-3,22
68,143/SA1,True,169,6.0,206,True,163,5.0,215,False,False,-6,9
69,146->477/SA1,True,2,114.0,2,True,5,33.0,7,False,False,3,5
70,146->512/SA1,True,121,1.0,146,True,111,2.0,135,False,False,-10,-11
71,146/SA0,True,134,21.0,152,True,125,13.0,149,False,False,-9,-3
72,146/SA1,True,123,1.0,148,True,115,2.0,142,False,False,-8,-6
73,149->479/SA1,True,10,77.0,12,True,15,23.0,18,False,False,5,6
74,149->514/SA1,True,107,8.0,124,True,114,18.0,143,False,False,7,19
75,149/SA0,True,121,1.0,132,True,125,4.0,150,False,False,4,18
76,149/SA1,True,116,8.0,136,True,126,18.0,161,False,False,10,25
77,152/SA0,True,138,10.0,152,True,134,2.0,154,False,False,-4,2
78,152/SA1,True,137,1.0,165,True,118,11.0,149,False,False,-19,-16
79,153->481/SA1,True,7,90.0,9,True,13,70.0,19,False,False,6,10
80,153->516/SA1,True,108,2.0,112,True,104,3.0,119,False,False,-4,7
81,153/SA0,True,113,1.0,132,True,116,1.0,147,False,False,3,15
82,153/SA1,True,114,2.0,121,True,116,3.0,138,False,False,2,17
83,156->319/SA1,True,11,9.0,19,True,12,15.0,23,False,False,1,4
84,156->442/SA1,True,8,102.0,18,True,11,15.0,22,False,False,3,4
85,156/SA0,True,27,39.0,54,True,18,28.0,44,False,False,-9,-10
86,156/SA1,True,15,9.0,32,True,18,15.0,35,False,False,3,3
87,159->324/SA1,True,258,5.0,258,True,242,8.0,242,False,False,-16,-16
88,159->325/SA0,True,247,10.0,247,True,295,1.0,295,False,False,48,48
89,159->522/SA1,True,3,206.0,3,False,0,,0,False,True,-3,-3
90,159->590/SA1,True,85,12.0,103,True,95,2.0,107,False,False,10,4
91,159->593/SA0,True,239,1.0,258,True,232,3.0,263,False,False,-7,5
92,159/SA0,True,509,1.0,861,True,516,1.0,883,False,False,7,22
93,159/SA1,True,515,3.0,876,True,508,2.0,865,False,False,-7,-11
94,165->324/SA1,True,247,10.0,247,True,295,1.0,295,False,False,48,48
95,165->325/SA0,True,258,5.0,258,True,242,8.0,242,False,False,-16,-16
96,165->523/SA1,True,1,206.0,1,False,0,,0,False,True,-1,-1
97,165->597/SA1,True,65,9.0,85,True,77,1.0,97,False,False,12,12
98,165->600/SA0,True,215,2.0,243,True,208,9.0,234,False,False,-7,-9
99,165/SA0,True,520,1.0,844,True,463,4.0,757,False,False,-57,-87
100,165/SA1,True,504,3.0,833,True,561,1.0,927,False,False,57,94
101,17->269/SA1,True,59,16.0,59,True,65,22.0,65,False,False,6,6
102,17->270/SA1,True,68,7.0,68,True,63,23.0,63,False,False,-5,-5
103,17->279/SA1,True,41,16.0,98,True,50,22.0,102,False,False,9,4
104,17->317/SA1,True,152,1.0,192,True,125,2.0,141,False,False,-27,-51
105,17->322/SA0,True,3,592.0,5,True,2,395.0,7,False,False,-1,2
106,17->323/SA1,True,11,38.0,27,True,9,62.0,15,False,False,-2,-12
107,17->432/SA1,True,4,878.0,8,True,6,20.0,12,False,False,2,4
108,17->443/SA1,True,25,16.0,33,True,28,108.0,41,False,False,3,8
109,17/SA0,True,232,9.0,410,True,231,9.0,412,False,False,-1,2
110,17/SA1,True,253,1.0,455,True,231,2.0,427,False,False,-22,-28
111,171->326/SA1,True,243,5.0,243,True,250,1.0,250,False,False,7,7
112,171->327/SA0,True,275,2.0,275,True,241,2.0,241,False,False,-34,-34
113,171->524/SA1,False,0,,0,False,0,,0,False,False,0,0
114,171->606/SA1,True,42,9.0,55,True,62,25.0,86,False,False,20,31
115,171->609/SA0,True,221,2.0,237,True,210,2.0,250,False,False,-11,13
116,171/SA0,True,527,2.0,842,True,519,2.0,843,False,False,-8,1
117,171/SA1,True,497,1.0,784,True,505,1.0,825,False,False,8,41
118,177->326/SA1,True,275,2.0,275,True,241,2.0,241,False,False,-34,-34
119,177->327/SA0,True,243,5.0,243,True,250,1.0,250,False,False,7,7
120,177->525/SA1,True,1,561.0,1,True,1,520.0,1,False,False,0,0
121,177->616/SA1,True,57,58.0,87,True,54,2.0,67,False,False,-3,-20
122,177->619/SA0,True,193,8.0,219,True,202,3.0,244,False,False,9,25
123,177/SA0,True,495,5.0,769,True,528,1.0,835,False,False,33,66
124,177/SA1,True,529,1.0,866,True,496,2.0,808,False,False,-33,-58
125,183->328/SA1,True,256,2.0,256,True,259,3.0,259,False,False,3,3
126,183->329/SA0,True,269,6.0,269,True,251,4.0,251,False,False,-18,-18
127,183->526/SA1,True,1,863.0,1,True,1,520.0,1,False,False,0,0
128,183->625/SA1,True,55,1.0,65,True,51,2.0,68,False,False,-4,3
129,183->628/SA0,True,183,8.0,202,True,214,15.0,234,False,False,31,32
130,183/SA0,True,507,5.0,776,True,528,4.0,841,False,False,21,65
131,183/SA1,True,517,1.0,808,True,496,1.0,797,False,False,-21,-11
132,189->328/SA1,True,269,6.0,269,True,251,4.0,251,False,False,-18,-18
133,189->329/SA0,True,256,2.0,256,True,259,3.0,259,False,False,3,3
134,189->527/SA1,True,1,206.0,1,True,1,520.0,1,False,False,0,0
135,189->632/SA1,True,41,17.0,52,True,46,31.0,64,False,False,5,12
136,189->635/SA0,True,149,8.0,165,True,174,15.0,203,False,False,25,38
137,189/SA0,True,494,2.0,714,True,536,3.0,798,False,False,42,84
138,189/SA1,True,530,1.0,743,True,488,1.0,707,False,False,-42,-36
139,195->330/SA1,True,230,9.0,230,True,244,6.0,244,False,False,14,14
140,195->331/SA0,True,258,1.0,258,True,260,4.0,260,False,False,2,2
141,195->528/SA1,False,0,,0,False,0,,0,False,False,0,0
142,195->641/SA1,True,36,9.0,45,True,40,3.0,53,False,False,4,8
143,195->644/SA0,True,143,3.0,167,True,164,11.0,189,False,False,21,22
144,195/SA0,True,530,1.0,751,True,533,1.0,763,False,False,3,12
145,195/SA1,True,494,5.0,710,True,491,3.0,712,False,False,-3,2
146,201->330/SA1,True,258,1.0,258,True,260,4.0,260,False,False,2,2
147,201->331/SA0,True,230,9.0,230,True,244,6.0,244,False,False,14,14
148,201->529/SA1,True,3,206.0,3,False,0,,0,False,True,-3,-3
149,201->651/SA1,True,44,34.0,60,True,35,144.0,48,False,False,-9,-12
150,201->654/SA0,True,150,9.0,182,True,157,10.0,192,False,False,7,10
151,201/SA0,True,502,6.0,731,True,517,1.0,761,False,False,15,30
152,201/SA1,True,522,1.0,766,True,507,3.0,743,False,False,-15,-23
153,207->520/SA1,True,221,1.0,221,True,266,5.0,266,False,False,45,45
154,207->521/SA0,True,270,2.0,270,True,221,2.0,221,False,False,-49,-49
155,207/SA0,True,542,2.0,542,True,489,2.0,489,False,False,-53,-53
156,207/SA1,True,482,1.0,482,True,535,1.0,535,False,False,53,53
157,210->332/SA1,True,123,7.0,123,True,124,7.0,124,False,False,1,1
158,210->333/SA1,True,110,1.0,110,True,128,7.0,128,False,False,18,18
159,210->334/SA1,True,104,9.0,104,True,109,31.0,109,False,False,5,5
160,210->335/SA1,True,109,7.0,109,True,117,19.0,117,False,False,8,8
161,210->336/SA1,True,82,9.0,82,True,87,19.0,87,False,False,5,5
162,210->338/SA1,True,75,17.0,75,True,95,22.0,95,False,False,20,20
163,210->340/SA1,True,85,22.0,85,True,99,3.0,99,False,False,14,14
164,210->417/SA1,True,102,7.0,102,True,142,31.0,142,False,False,40,40
165,210/SA0,True,417,2.0,940,True,367,1.0,837,False,False,-50,-103
166,210/SA1,True,370,1.0,790,True,394,3.0,901,False,False,24,111
167,219->794/SA1,True,87,3.0,87,True,110,14.0,110,False,False,23,23
168,219->808/SA1,True,93,17.0,93,True,113,7.0,113,False,False,20,20
169,219->809/SA1,True,81,5.0,81,True,80,6.0,80,False,False,-1,-1
170,219->810/SA1,True,82,4.0,82,True,83,12.0,83,False,False,1,1
171,219->836/SA1,True,110,11.0,110,True,119,7.0,119,False,False,9,9
172,219->851/SA1,True,94,17.0,94,True,102,7.0,102,False,False,8,8
173,219->852/SA1,True,97,5.0,97,True,92,18.0,92,False,False,-5,-5
174,219->853/SA1,True,97,4.0,97,True,99,38.0,99,False,False,2,2
175,219/SA0,True,355,1.0,762,True,341,1.0,718,False,False,-14,-44
176,219/SA1,True,354,3.0,741,True,381,6.0,798,False,False,27,57
177,228->736/SA1,True,107,13.0,107,True,125,7.0,125,False,False,18,18
178,228->739/SA1,True,102,5.0,102,True,113,9.0,113,False,False,11,11
179,228->742/SA1,True,91,4.0,91,True,116,31.0,116,False,False,25,25
180,228->745/SA1,True,95,8.0,95,True,132,7.0,132,False,False,37,37
181,228->748/SA1,True,109,6.0,109,True,116,7.0,116,False,False,7,7
182,228->751/SA1,True,73,5.0,73,True,86,15.0,86,False,False,13,13
183,228->754/SA1,True,82,4.0,82,True,104,18.0,104,False,False,22,22
184,228->759/SA1,True,91,28.0,91,True,103,12.0,103,False,False,12,12
185,228/SA0,True,331,1.0,744,True,304,5.0,729,False,False,-27,-15
186,228/SA1,True,326,4.0,750,True,350,7.0,895,False,False,24,145
187,237->737/SA1,True,15,100.0,15,True,18,12.0,18,False,False,3,3
188,237->740/SA1,True,15,35.0,15,True,18,13.0,18,False,False,3,3
189,237->743/SA1,True,23,29.0,23,True,16,12.0,16,False,False,-7,-7
190,237->746/SA1,True,14,34.0,14,True,21,38.0,21,False,False,7,7
191,237->749/SA1,True,13,87.0,13,True,31,49.0,31,False,False,18,18
192,237->752/SA1,True,13,133.0,13,True,23,38.0,23,False,False,10,10
193,237->755/SA1,True,15,184.0,15,True,15,31.0,15,False,False,0,0
194,237->760/SA1,True,14,133.0,14,True,21,1.0,21,False,False,7,7
195,237/SA0,True,113,6.0,178,True,117,9.0,160,False,False,4,-18
196,237/SA1,True,88,29.0,122,True,118,1.0,163,False,False,30,41
197,246->596/SA1,True,38,13.0,38,True,51,9.0,51,False,False,13,13
198,246->605/SA1,True,35,17.0,35,True,44,13.0,44,False,False,9,9
199,246->615/SA1,True,38,17.0,38,True,37,12.0,37,False,False,-1,-1
200,246->624/SA1,True,35,34.0,35,True,43,31.0,43,False,False,8,8
201,246->631/SA1,True,34,35.0,34,True,63,7.0,63,False,False,29,29
202,246->640/SA1,True,33,17.0,33,True,45,31.0,45,False,False,12,12
203,246->650/SA1,True,25,17.0,25,True,45,31.0,45,False,False,20,20
204,246->659/SA1,True,30,35.0,30,True,46,1.0,46,False,False,16,16
205,246/SA0,True,181,10.0,303,True,182,15.0,311,False,False,1,8
206,246/SA1,True,160,13.0,268,True,199,1.0,374,False,False,39,106
207,255->337/SA1,True,78,15.0,78,True,94,12.0,94,False,False,16,16
208,255->339/SA1,True,72,8.0,72,True,91,19.0,91,False,False,19,19
209,255->341/SA1,True,96,3.0,96,True,89,1.0,89,False,False,-7,-7
210,255/SA0,True,190,6.0,247,True,206,7.0,269,False,False,16,22
211,255/SA1,True,200,3.0,246,True,207,1.0,274,False,False,7,28
212,259/SA0,True,92,7.0,92,True,88,7.0,88,False,False,-4,-4
213,259/SA1,True,73,5.0,73,True,85,6.0,85,False,False,12,12
214,26->270/SA1,True,67,45.0,67,True,53,16.0,53,False,False,-14,-14
215,26->276/SA1,True,117,22.0,230,True,150,16.0,305,False,False,33,75
216,26/SA0,True,155,9.0,303,True,156,12.0,293,False,False,1,-10
217,26/SA1,True,155,22.0,297,True,171,16.0,358,False,False,16,61
218,260/SA0,True,70,10.0,70,True,83,7.0,83,False,False,13,13
219,260/SA1,True,85,7.0,85,True,81,22.0,81,False,False,-4,-4
220,261->732/SA1,True,50,16.0,50,True,43,25.0,43,False,False,-7,-7
221,261->733/SA1,True,18,9.0,18,True,30,27.0,30,False,False,12,12
222,261->734/SA1,True,17,78.0,22,True,31,27.0,41,False,False,14,19
223,261->757/SA0,True,51,19.0,51,True,58,11.0,58,False,False,7,7
224,261->758/SA1,True,31,44.0,31,True,31,43.0,31,False,False,0,0
225,261/SA0,True,116,8.0,154,True,129,11.0,175,False,False,13,21
226,261/SA1,True,137,9.0,180,True,139,1.0,197,False,False,2,17
227,267/SA0,True,85,6.0,85,True,98,7.0,98,False,False,13,13
228,267/SA1,True,80,24.0,80,True,92,3.0,92,False,False,12,12
229,268/SA0,True,140,3.0,146,True,123,1.0,128,False,False,-17,-18
230,268/SA1,True,131,4.0,138,True,119,9.0,124,False,False,-12,-14
231,269/SA0,True,967,1.0,967,True,974,1.0,974,False,False,7,7
232,269/SA1,True,57,55.0,57,True,50,16.0,50,False,False,-7,-7
233,270->344/SA0,True,854,1.0,854,True,854,1.0,854,False,False,0,0
234,270->392/SA0,True,115,11.0,115,True,115,3.0,115,False,False,0,0
235,270/SA0,True,969,1.0,969,True,969,1.0,969,False,False,0,0
236,270/SA1,True,55,9.0,55,True,55,12.0,55,False,False,0,0
237,273->344/SA0,True,2,274.0,2,True,8,44.0,8,False,False,6,6
238,273/SA0,True,2,274.0,4,True,8,44.0,16,False,False,6,12
239,273/SA1,True,53,9.0,106,True,47,12.0,94,False,False,-6,-12
240,276/SA0,True,131,9.0,248,True,131,12.0,238,False,False,0,-10
241,276/SA1,True,893,1.0,1681,True,893,1.0,1653,False,False,0,-28
242,279/SA0,True,657,2.0,1406,True,656,4.0,1366,False,False,-1,-40
243,279/SA1,True,30,84.0,55,True,38,16.0,75,False,False,8,20
244,280->348/SA0,True,8,22.0,21,True,15,13.0,35,False,False,7,14
245,280->349/SA0,True,250,2.0,250,True,218,6.0,218,False,False,-32,-32
246,280->350/SA0,True,150,11.0,150,True,123,2.0,123,False,False,-27,-27
247,280/SA0,True,334,2.0,421,True,291,2.0,376,False,False,-43,-45
248,280/SA1,True,19,16.0,24,True,16,111.0,21,False,False,-3,-3
249,284/SA0,True,12,144.0,26,True,6,111.0,9,False,False,-6,-17
250,284/SA1,True,1,206.0,1,False,0,,0,False,True,-1,-1
251,285/SA0,True,38,32.0,38,True,50,16.0,50,False,False,12,12
252,285/SA1,True,16,16.0,16,True,14,111.0,14,False,False,-2,-2
253,286/SA0,True,47,16.0,47,True,57,16.0,57,False,False,10,10
254,286/SA1,True,7,55.0,7,True,7,251.0,7,False,False,0,0
255,287->432/SA1,True,13,225.0,23,True,14,15.0,31,False,False,1,8
256,287->437/SA1,True,23,16.0,36,True,17,28.0,35,False,False,-6,-1
257,287/SA0,True,5,259.0,11,True,6,57.0,10,False,False,1,-1
258,287/SA1,True,31,16.0,58,True,24,15.0,62,False,False,-7,4
259,29->273/SA1,True,5,9.0,10,True,5,155.0,10,False,False,0,0
260,29->285/SA1,True,17,55.0,17,True,14,22.0,14,False,False,-3,-3
261,29->287/SA1,True,4,534.0,8,True,3,28.0,9,False,False,-1,1
262,29->290/SA1,True,130,8.0,130,True,124,2.0,124,False,False,-6,-6
263,29->291/SA1,True,113,5.0,113,True,120,8.0,120,False,False,7,7
264,29->292/SA1,True,116,3.0,116,True,131,4.0,131,False,False,15,15
265,29/SA0,True,239,11.0,392,True,255,3.0,414,False,False,16,22
266,29/SA1,True,257,3.0,394,True,262,2.0,408,False,False,5,14
267,290/SA0,True,117,11.0,117,True,122,3.0,122,False,False,5,5
268,290/SA1,True,907,1.0,907,True,902,1.0,902,False,False,-5,-5
269,291/SA0,True,127,20.0,127,True,129,6.0,129,False,False,2,2
270,291/SA1,True,897,1.0,897,True,895,1.0,895,False,False,-2,-2
271,292/SA0,True,117,11.0,117,True,123,3.0,123,False,False,6,6
272,292/SA1,True,907,1.0,907,True,901,1.0,901,False,False,-6,-6
273,293/SA0,True,148,7.0,148,True,134,2.0,134,False,False,-14,-14
274,293/SA1,True,876,1.0,876,True,890,1.0,890,False,False,14,14
275,294/SA0,True,4,73.0,6,True,6,181.0,16,False,False,2,10
276,295/SA0,True,125,7.0,125,True,127,6.0,127,False,False,2,2
277,295/SA1,True,899,1.0,899,True,897,1.0,897,False,False,-2,-2
278,296/SA0,True,120,9.0,120,True,133,3.0,133,False,False,13,13
279,296/SA1,True,904,1.0,904,True,891,1.0,891,False,False,-13,-13
280,297/SA0,True,247,7.0,247,True,244,5.0,244,False,False,-3,-3
281,297/SA1,True,777,1.0,777,True,780,1.0,780,False,False,3,3
282,298->355/SA1,True,116,6.0,116,True,139,1.0,139,False,False,23,23
283,298->356/SA1,True,102,9.0,102,True,132,6.0,132,False,False,30,30
284,298/SA0,True,581,1.0,758,True,568,3.0,770,False,False,-13,12
285,298/SA1,True,167,6.0,218,True,209,1.0,271,False,False,42,53
286,301/SA0,True,522,6.0,522,True,513,3.0,513,False,False,-9,-9
287,301/SA1,True,254,1.0,254,True,249,2.0,249,False,False,-5,-5
288,302/SA1,True,248,2.0,248,True,262,1.0,262,False,False,14,14
289,303/SA0,True,496,6.0,496,True,502,2.0,502,False,False,6,6
290,303/SA1,True,262,2.0,262,True,232,1.0,232,False,False,-30,-30
291,304/SA1,True,266,1.0,266,True,290,6.0,290,False,False,24,24
292,305/SA0,True,499,1.0,499,True,527,3.0,527,False,False,28,28
293,305/SA1,True,278,2.0,278,True,237,1.0,237,False,False,-41,-41
294,306/SA1,True,247,11.0,247,True,260,6.0,260,False,False,13,13
295,307/SA0,True,515,1.0,515,True,529,2.0,529,False,False,14,14
296,307/SA1,True,239,7.0,239,True,248,5.0,248,False,False,9,9
297,308/SA1,True,270,2.0,270,True,247,1.0,247,False,False,-23,-23
298,309/SA0,True,193,10.0,239,True,186,1.0,226,False,False,-7,-13
299,309/SA1,True,577,2.0,680,True,584,3.0,696,False,False,7,16
300,310->476/SA1,True,4,102.0,5,True,4,145.0,4,False,False,0,-1
301,310->478/SA1,True,1,102.0,2,True,1,33.0,1,False,False,0,-1
302,310->480/SA1,True,2,102.0,2,True,1,33.0,2,False,False,-1,0
303,310->482/SA1,True,3,102.0,4,True,1,145.0,2,False,False,-2,-2
304,316/SA0,True,143,1.0,169,True,153,1.0,183,False,False,10,14
305,316/SA1,True,503,2.0,595,True,501,3.0,596,False,False,-2,1
306,317/SA0,True,140,9.0,166,True,138,9.0,164,False,False,-2,-2
307,317/SA1,True,450,1.0,555,True,445,2.0,518,False,False,-5,-37
308,318/SA1,True,413,1.0,488,True,437,3.0,534,False,False,24,46
309,319->427/SA1,True,8,56.0,12,True,12,28.0,20,False,False,4,8
310,319->443/SA1,True,11,39.0,15,True,4,28.0,10,False,False,-7,-5
311,319/SA0,True,38,9.0,73,True,36,15.0,72,False,False,-2,-1
312,319/SA1,True,17,39.0,27,True,13,28.0,30,False,False,-4,3
313,322/SA0,True,8,300.0,15,True,7,20.0,18,False,False,-1,3
314,322/SA1,True,14,38.0,32,True,11,62.0,22,False,False,-3,-10
315,323/SA0,True,8,225.0,12,True,5,28.0,10,False,False,-3,-2
316,324/SA0,True,505,5.0,505,True,537,1.0,537,False,False,32,32
317,324/SA1,True,262,1.0,262,True,221,4.0,221,False,False,-41,-41
318,325/SA1,True,257,3.0,257,True,266,2.0,266,False,False,9,9
319,326/SA0,True,518,2.0,518,True,491,1.0,491,False,False,-27,-27
320,326/SA1,True,252,6.0,252,True,278,3.0,278,False,False,26,26
321,327/SA1,True,254,1.0,254,True,255,4.0,255,False,False,1,1
322,328/SA0,True,525,2.0,525,True,510,3.0,510,False,False,-15,-15
323,328/SA1,True,238,5.0,238,True,277,9.0,277,False,False,39,39
324,329/SA1,True,261,1.0,261,True,237,1.0,237,False,False,-24,-24
325,330/SA0,True,488,1.0,488,True,504,4.0,504,False,False,16,16
326,330/SA1,True,272,6.0,272,True,273,1.0,273,False,False,1,1
327,331/SA1,True,264,5.0,264,True,247,3.0,247,False,False,-17,-17
328,332/SA0,True,134,3.0,134,True,116,11.0,116,False,False,-18,-18
329,332/SA1,True,349,4.0,349,True,401,3.0,401,False,False,52,52
330,333/SA0,True,127,6.0,127,True,130,4.0,130,False,False,3,3
331,333/SA1,True,338,1.0,338,True,373,6.0,373,False,False,35,35
332,334/SA0,True,136,2.0,136,True,103,4.0,103,False,False,-33,-33
333,334/SA1,True,338,1.0,338,True,378,6.0,378,False,False,40,40
334,335/SA0,True,126,2.0,126,True,113,5.0,113,False,False,-13,-13
335,335/SA1,True,350,6.0,350,True,375,7.0,375,False,False,25,25
336,336/SA0,True,91,4.0,91,True,85,11.0,85,False,False,-6,-6
337,336/SA1,True,254,5.0,254,True,279,6.0,279,False,False,25,25
338,338/SA0,True,101,14.0,101,True,90,4.0,90,False,False,-11,-11
339,338/SA1,True,254,4.0,254,True,273,12.0,273,False,False,19,19
340,340/SA0,True,89,4.0,89,True,82,18.0,82,False,False,-7,-7
341,340/SA1,True,264,2.0,264,True,281,1.0,281,False,False,17,17
342,343/SA0,True,53,9.0,53,True,47,12.0,47,False,False,-6,-6
343,343/SA1,True,2,274.0,2,True,8,44.0,8,False,False,6,6
344,344/SA0,True,971,1.0,971,True,977,1.0,977,False,False,6,6
345,344/SA1,True,53,9.0,53,True,47,12.0,47,False,False,-6,-6
346,345/SA0,True,381,7.0,788,True,373,2.0,760,False,False,-8,-28
347,345/SA1,True,55,9.0,117,True,53,15.0,107,False,False,-2,-10
348,346/SA0,True,893,1.0,893,True,893,1.0,893,False,False,0,0
349,346/SA1,True,131,9.0,131,True,131,12.0,131,False,False,0,0
350,348/SA1,True,167,5.0,343,True,178,7.0,359,False,False,11,16
351,349/SA0,True,1008,1.0,1008,True,1010,1.0,1010,False,False,2,2
352,350/SA0,True,1017,1.0,1017,True,1017,1.0,1017,False,False,0,0
353,355/SA0,True,650,1.0,650,True,624,1.0,624,False,False,-26,-26
354,355/SA1,True,374,8.0,374,True,400,3.0,400,False,False,26,26
355,356/SA0,True,384,1.0,384,True,370,5.0,370,False,False,-14,-14
356,356/SA1,True,640,3.0,640,True,654,1.0,654,False,False,14,14
357,357->406/SA1,True,276,9.0,276,True,256,3.0,256,False,False,-20,-20
358,357/SA0,True,502,1.0,502,True,511,1.0,511,False,False,9,9
359,36->273/SA1,True,6,185.0,12,True,7,53.0,14,False,False,1,2
360,36->291/SA1,True,152,2.0,152,True,146,14.0,146,False,False,-6,-6
361,36->292/SA1,True,127,2.0,127,True,130,14.0,130,False,False,3,3
362,36->295/SA1,True,161,27.0,161,True,140,2.0,140,False,False,-21,-21
363,36->296/SA1,True,147,12.0,147,True,128,2.0,128,False,False,-19,-19
364,36/SA0,True,275,7.0,493,True,281,3.0,528,False,False,6,35
365,36/SA1,True,317,2.0,599,True,300,2.0,558,False,False,-17,-41
