fault_id,fault,fault_type,source,location,is_branch,detected,detecting_vector_count,first_detecting_vector,total_po_mismatches,PO_388,PO_389,PO_390,PO_391,PO_418,PO_419,PO_420,PO_421,PO_422,PO_423,PO_446,PO_447,PO_448,PO_449,PO_450,PO_767,PO_768,PO_850,PO_863,PO_864,PO_865,PO_866,PO_874,PO_878,PO_879,PO_880
106,17->323/SA1,SA1,17,323,True,True,9,62.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,2,2,2,0
107,17->432/SA1,SA1,17,432,True,True,6,20.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,2
108,17->443/SA1,SA1,17,443,True,True,28,108.0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,6,9,2,1,0,1,0
109,17/SA0,SA0,17,17,False,True,231,9.0,412,0,0,0,0,50,47,0,0,0,0,8,0,0,0,0,0,0,12,21,17,13,61,16,20,38,109
110,17/SA1,SA1,17,17,False,True,231,2.0,427,0,0,0,0,65,53,0,0,0,0,10,0,0,0,0,0,0,25,27,20,20,51,13,24,25,94
111,171->326/SA1,SA1,171,326,True,True,250,1.0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
112,171->327/SA0,SA0,171,327,True,True,241,2.0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0
113,171->524/SA1,SA1,171,524,True,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,171->606/SA1,SA1,171,606,True,True,62,25.0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,13,16,34
115,171->609/SA0,SA0,171,609,True,True,210,2.0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,14,27,182
116,171/SA0,SA0,171,171,False,True,519,2.0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,58,0,21,39,206
117,171/SA1,SA1,171,171,False,True,505,1.0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,41,0,24,31,224
118,177->326/SA1,SA1,177,326,True,True,241,2.0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0
119,177->327/SA0,SA0,177,327,True,True,250,1.0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0
120,177->525/SA1,SA1,177,525,True,True,1,520.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,177->616/SA1,SA1,177,616,True,True,54,2.0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,4,9,16
122,177->619/SA0,SA0,177,619,True,True,202,3.0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,173,10,16,29
123,177/SA0,SA0,177,177,False,True,528,1.0,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,28,197,14,24,44
124,177/SA1,SA1,177,177,False,True,496,2.0,808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0,24,211,12,22,43
125,183->328/SA1,SA1,183,328,True,True,259,3.0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0
126,183->329/SA0,SA0,183,329,True,True,251,4.0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0
127,183->526/SA1,SA1,183,526,True,True,1,520.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,183->625/SA1,SA1,183,625,True,True,51,2.0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,7,13,2,6,7
129,183->628/SA0,SA0,183,628,True,True,214,15.0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,9,19,0,5,8
130,183/SA0,SA0,183,183,False,True,528,4.0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,230,0,0,13,38,3,11,18
131,183/SA1,SA1,183,183,False,True,496,1.0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,0,210,0,0,13,37,5,12,24
132,189->328/SA1,SA1,189,328,True,True,251,4.0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0
133,189->329/SA0,SA0,189,329,True,True,259,3.0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0
134,189->527/SA1,SA1,189,527,True,True,1,520.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,189->632/SA1,SA1,189,632,True,True,46,31.0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,0,2,8,3,4,5
136,189->635/SA0,SA0,189,635,True,True,174,15.0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,145,0,8,14,3,6,8
137,189/SA0,SA0,189,189,False,True,536,3.0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,37,170,0,9,21,3,8,14
138,189/SA1,SA1,189,189,False,True,488,1.0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,27,153,0,6,15,3,6,9
139,195->330/SA1,SA1,195,330,True,True,244,6.0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0
140,195->331/SA0,SA0,195,331,True,True,260,4.0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0
141,195->528/SA1,SA1,195,528,True,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,195->641/SA1,SA1,195,641,True,True,40,3.0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,29,2,5,0,2,3
143,195->644/SA0,SA0,195,644,True,True,164,11.0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,143,2,7,0,2,3
144,195/SA0,SA0,195,195,False,True,533,1.0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,0,20,27,158,5,11,2,3,4
145,195/SA1,SA1,195,195,False,True,491,3.0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,21,24,151,4,9,1,4,7
146,201->330/SA1,SA1,201,330,True,True,260,4.0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0
147,201->331/SA0,SA0,201,331,True,True,244,6.0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0
148,201->529/SA1,SA1,201,529,True,False,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,201->651/SA1,SA1,201,651,True,True,35,144.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,9,10,1,3,1,2,2
150,201->654/SA0,SA0,201,654,True,True,157,10.0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,11,14,26,3,4,0,1,2
151,201/SA0,SA0,201,201,False,True,517,1.0,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,152,18,21,38,3,6,0,2,4
152,201/SA1,SA1,201,201,False,True,507,3.0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,139,15,19,40,4,9,2,3,5
153,207->520/SA1,SA1,207,520,True,True,266,5.0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0
154,207->521/SA0,SA0,207,521,True,True,221,2.0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0
155,207/SA0,SA0,207,207,False,True,489,2.0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0
156,207/SA1,SA1,207,207,False,True,535,1.0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0
157,210->332/SA1,SA1,210,332,True,True,124,7.0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0
158,210->333/SA1,SA1,210,333,True,True,128,7.0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
159,210->334/SA1,SA1,210,334,True,True,109,31.0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0
160,210->335/SA1,SA1,210,335,True,True,117,19.0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0
161,210->336/SA1,SA1,210,336,True,True,87,19.0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0
162,210->338/SA1,SA1,210,338,True,True,95,22.0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0
163,210->340/SA1,SA1,210,340,True,True,99,3.0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
164,210->417/SA1,SA1,210,417,True,True,142,31.0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0
165,210/SA0,SA0,210,210,False,True,367,1.0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,113,85,90,0,103,118,116,130
166,210/SA1,SA1,210,210,False,True,394,3.0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,117,87,95,0,109,142,124,128
167,219->794/SA1,SA1,219,794,True,True,110,14.0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
