signal, type, CC0, CC1, CO, CC_avg, Testability, is_PI, is_PO
   340, AND ,   2,   3, 19,    2.5,        21.5, False, False
   341, AND ,   2,   3, 19,    2.5,        21.5, False, False
   342, NOT ,   3,   6,  1,    4.5,         5.5, False, False
   343, NOT ,   5,   3,  7,    4.0,        11.0, False, False
   344, OR  ,   8,   3,  1,    5.5,         6.5, False, False
   345, NOT ,   5,   3, 35,    4.0,        39.0, False, False
   346, NOT ,   5,   3,  2,    4.0,         6.0, False, False
   347, NOT ,   3,   6, 35,    4.5,        39.5, False, False
   348, NOR ,   3,  11, 23,    7.0,        30.0, False, False
   349, OR  ,   9,   3,  2,    6.0,         8.0, False, False
   350, OR  ,  10,   3,  2,    6.5,         8.5, False, False
   351, NOT ,   5,   3,  1,    4.0,         5.0, False, False
   352, NOT ,   5,   3, 38,    4.0,        42.0, False, False
   353, NOT ,   5,   3,  1,    4.0,         5.0, False, False
   354, NOT ,   5,   3,  1,    4.0,         5.0, False, False
   355, NAND,   4,   2,  2,    3.0,         5.0, False, False
   356, AND ,   2,   4,  1,    3.0,         4.0, False, False
   357, NAND,   5,   4, 33,    4.5,        37.5, False, False
   360, NAND,   5,   4, 33,    4.5,        37.5, False, False
   363, NAND,   5,   4, 33,    4.5,        37.5, False, False
   366, NAND,   5,   4, 33,    4.5,        37.5, False, False
   369, NOT ,   3,   3, 19,    3.0,        22.0, False, False
   375, NOR ,   4,   5, 42,    4.5,        46.5, False, False
   376, NAND,   5,   4, 33,    4.5,        37.5, False, False
   379, NAND,   5,   4, 33,    4.5,        37.5, False, False
   382, NAND,   5,   4, 33,    4.5,        37.5, False, False
   385, NAND,   5,   4, 33,    4.5,        37.5, False, False
   392, OR  ,  11,   3,  1,    7.0,         8.0, False, False
   393, NOT ,   4,   6, 34,    5.0,        39.0, False, False
   399, NOT ,   4,   6,  1,    5.0,         6.0, False, False
   400, AND ,   2,  13, 21,    7.5,        28.5, False, False
   401, NOT ,   4,  10,  1,    7.0,         8.0, False, False
   402, NOT ,   4,  11,  1,    7.5,         8.5, False, False
   403, NOT ,   3,   5,  1,    4.0,         5.0, False, False
   404, NOT ,   5,   6, 35,    5.5,        40.5, False, False
   405, NOT ,   5,   6, 35,    5.5,        40.5, False, False
   406, AND ,   6,   9, 28,    7.5,        35.5, False, False
   407, NOT ,   5,   6, 35,    5.5,        40.5, False, False
   408, NOT ,   5,   6, 35,    5.5,        40.5, False, False
   409, AND ,   6,   9, 28,    7.5,        35.5, False, False
   410, NAND,  10,   4, 31,    7.0,        38.0, False, False
   411, NOT ,   5,   6, 35,    5.5,        40.5, False, False
   412, NOT ,   5,   6, 35,    5.5,        40.5, False, False
   413, AND ,   6,   9, 28,    7.5,        35.5, False, False
   414, NOT ,   5,   6, 35,    5.5,        40.5, False, False
   415, NOT ,   5,   6, 35,    5.5,        40.5, False, False
   416, AND ,   6,   9, 28,    7.5,        35.5, False, False
   417, AND ,   2,   5, 17,    3.5,        20.5, False, False
   424, NOT ,  14,   3, 20,    8.5,        28.5, False, False
   425, AND ,   6,  13, 28,    9.5,        37.5, False, False
   426, AND ,   6,  13, 28,    9.5,        37.5, False, False
   427, AND ,   2,  10, 31,    6.0,        37.0, False, False
   432, AND ,   2,  12, 31,    7.0,        38.0, False, False
   437, NAND,  12,   2, 29,    7.0,        36.0, False, False
   442, NAND,  14,   2, 33,    8.0,        41.0, False, False
   443, NAND,  10,   2, 30,    6.0,        36.0, False, False
   444, AND ,   6,  13, 28,    9.5,        37.5, False, False
   445, AND ,   6,  13, 28,    9.5,        37.5, False, False
   451, NOT ,   4,  15, 19,    9.5,        28.5, False, False
   460, NOR ,  10,  13, 21,   11.5,        32.5, False, False
   463, NOR ,  10,  13, 21,   11.5,        32.5, False, False
   466, NAND,   7,  11, 28,    9.0,        37.0, False, False
   475, AND ,   2,  12, 29,    7.0,        36.0, False, False
   476, AND ,   3,  15, 28,    9.0,        37.0, False, False
   477, AND ,   2,  12, 29,    7.0,        36.0, False, False
   478, AND ,   3,  15, 28,    9.0,        37.0, False, False
   479, AND ,   2,  12, 29,    7.0,        36.0, False, False
   480, AND ,   3,  15, 28,    9.0,        37.0, False, False
   481, AND ,   2,  12, 29,    7.0,        36.0, False, False
   482, AND ,   3,  15, 28,    9.0,        37.0, False, False
   483, NAND,   4,   2, 28,    3.0,        31.0, False, False
   488, OR  ,  16,   3, 25,    9.5,        34.5, False, False
   489, OR  ,  16,   3, 27,    9.5,        36.5, False, False
   490, OR  ,  16,   3, 27,    9.5,        36.5, False, False
   491, OR  ,  16,   3, 27,    9.5,        36.5, False, False
   492, NOR ,  10,  13, 21,   11.5,        32.5, False, False
   495, NOR ,  10,  13, 21,   11.5,        32.5, False, False
   498, NAND,  15,   2, 19,    8.5,        27.5, False, False
   499, OR  ,  12,   2, 19,    7.0,        26.0, False, False
   500, NAND,  15,   2, 19,    8.5,        27.5, False, False
   501, OR  ,  12,   2, 19,    7.0,        26.0, False, False
   502, AND ,   2,  13, 29,    7.5,        36.5, False, False
   503, NOR ,  13,   6, 25,    9.5,        34.5, False, False
   504, AND ,   2,  13, 29,    7.5,        36.5, False, False
   505, NOR ,  13,   6, 25,    9.5,        34.5, False, False
   506, AND ,   2,  13, 29,    7.5,        36.5, False, False
   507, NOR ,  13,   6, 25,    9.5,        34.5, False, False
   508, AND ,   2,  13, 29,    7.5,        36.5, False, False
   509, NOR ,  13,   6, 25,    9.5,        34.5, False, False
   510, AND ,   2,   4, 26,    3.0,        29.0, False, False
   511, AND ,   2,  13, 26,    7.5,        33.5, False, False
   512, AND ,   2,   4, 28,    3.0,        31.0, False, False
   513, AND ,   2,  13, 28,    7.5,        35.5, False, False
   514, AND ,   2,   4, 28,    3.0,        31.0, False, False
   515, AND ,   2,  13, 28,    7.5,        35.5, False, False
   516, AND ,   2,   4, 28,    3.0,        31.0, False, False
   517, AND ,   2,  13, 28,    7.5,        35.5, False, False
   518, NAND,  15,   2, 19,    8.5,        27.5, False, False
   519, OR  ,  12,   2, 19,    7.0,        26.0, False, False
   520, NAND,  15,   2, 19,    8.5,        27.5, False, False
   521, OR  ,  12,   2, 19,    7.0,        26.0, False, False
   522, AND ,   2,  17, 17,    9.5,        26.5, False, False
   523, AND ,   2,  17, 17,    9.5,        26.5, False, False
   524, AND ,   2,  17, 17,    9.5,        26.5, False, False
   525, AND ,   2,  17, 17,    9.5,        26.5, False, False
   526, AND ,   2,  17, 17,    9.5,        26.5, False, False
   527, NAND,  17,   2, 19,    9.5,        28.5, False, False
   528, NAND,  17,   2, 19,    9.5,        28.5, False, False
   529, NAND,  17,   2, 19,    9.5,        28.5, False, False
   530, NAND,   5,  13, 16,    9.0,        25.0, False, False
   533, NAND,   5,  13, 16,    9.0,        25.0, False, False
   536, NOR ,   4,   5, 26,    4.5,        30.5, False, False
   537, NOR ,   4,   5, 26,    4.5,        30.5, False, False
   538, NOR ,   4,   5, 26,    4.5,        30.5, False, False
   539, NOR ,   4,   5, 26,    4.5,        30.5, False, False
   540, NOR ,   5,   5, 23,    5.0,        28.0, False, False
   541, NOR ,   5,   5, 25,    5.0,        30.0, False, False
   542, NOR ,   5,   5, 25,    5.0,        30.0, False, False
   543, NOR ,   5,   5, 25,    5.0,        30.0, False, False
   544, NAND,   5,  13, 16,    9.0,        25.0, False, False
   547, NAND,   5,  13, 16,    9.0,        25.0, False, False
   550, NOT ,  14,   6, 15,   10.0,        25.0, False, False
   551, NOT ,  14,   6, 15,   10.0,        25.0, False, False
   552, AND ,   6,  27, 17,   16.5,        33.5, False, False
   553, NAND,  12,   5, 19,    8.5,        27.5, False, False
   557, NAND,  12,   5, 19,    8.5,        27.5, False, False
   561, NAND,  12,   5, 19,    8.5,        27.5, False, False
   565, NAND,  12,   5, 19,    8.5,        27.5, False, False
   569, NAND,   9,   6, 19,    7.5,        26.5, False, False
   573, NAND,   9,   6, 21,    7.5,        28.5, False, False
   577, NAND,   9,   6, 21,    7.5,        28.5, False, False
   581, NAND,   9,   6, 21,    7.5,        28.5, False, False
   585, NOT ,  14,   6, 15,   10.0,        25.0, False, False
   586, NOT ,  14,   6, 15,   10.0,        25.0, False, False
   587, AND ,   6,  27, 17,   16.5,        33.5, False, False
   588, AND ,  15,  13,  8,   14.0,        22.0, False, False
   589, AND ,  15,  13,  8,   14.0,        22.0, False, False
   590, NAND,   7,   2, 20,    4.5,        24.5, False, False
   593, OR  ,  14,   2, 18,    8.0,        26.0, False, False
   596, AND ,   2,   7, 17,    4.5,        21.5, False, False
   597, NAND,   7,   2, 20,    4.5,        24.5, False, False
   600, OR  ,  14,   2, 22,    8.0,        30.0, False, False
   605, AND ,   2,   7, 17,    4.5,        21.5, False, False
   606, NAND,   7,   2, 20,    4.5,        24.5, False, False
   609, OR  ,  14,   2, 22,    8.0,        30.0, False, False
   615, AND ,   2,   7, 17,    4.5,        21.5, False, False
   616, NAND,   7,   2, 20,    4.5,        24.5, False, False
   619, OR  ,  14,   2, 22,    8.0,        30.0, False, False
   624, AND ,   2,   7, 17,    4.5,        21.5, False, False
   625, NAND,   8,   2, 20,    5.0,        25.0, False, False
   628, OR  ,  11,   2, 22,    6.5,        28.5, False, False
   631, AND ,   2,   8, 17,    5.0,        22.0, False, False
   632, NAND,   8,   2, 22,    5.0,        27.0, False, False
   635, OR  ,  11,   2, 24,    6.5,        30.5, False, False
   640, AND ,   2,   8, 19,    5.0,        24.0, False, False
   641, NAND,   8,   2, 22,    5.0,        27.0, False, False
   644, OR  ,  11,   2, 24,    6.5,        30.5, False, False
   650, AND ,   2,   8, 19,    5.0,        24.0, False, False
   651, NAND,   8,   2, 22,    5.0,        27.0, False, False
   654, OR  ,  11,   2, 24,    6.5,        30.5, False, False
   659, AND ,   2,   8, 19,    5.0,        24.0, False, False
   660, NOR ,  14,  22,  1,   18.0,        19.0, False, False
   661, NOR ,  14,  22,  1,   18.0,        19.0, False, False
   662, NOT ,   3,   8, 19,    5.5,        24.5, False, False
   665, AND ,   8,   5, 19,    6.5,        25.5, False, False
   669, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   670, NOT ,   3,   8, 19,    5.5,        24.5, False, False
   673, AND ,   8,   5, 19,    6.5,        25.5, False, False
   677, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   678, NOT ,   3,   8, 19,    5.5,        24.5, False, False
   682, AND ,   8,   5, 19,    6.5,        25.5, False, False
   686, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   687, NOT ,   3,   8, 19,    5.5,        24.5, False, False
   692, AND ,   8,   5, 19,    6.5,        25.5, False, False
   696, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   697, NOT ,   3,   9, 19,    6.0,        25.0, False, False
   700, AND ,   9,   5, 19,    7.0,        26.0, False, False
   704, NOR ,   9,   5, 14,    7.0,        21.0, False, False
   705, NOT ,   3,   9, 21,    6.0,        27.0, False, False
   708, AND ,   9,   5, 21,    7.0,        28.0, False, False
   712, NOR ,   4,   5, 16,    4.5,        20.5, False, False
   713, NOT ,   3,   9, 21,    6.0,        27.0, False, False
   717, AND ,   9,   5, 21,    7.0,        28.0, False, False
   721, NOR ,   4,   5, 16,    4.5,        20.5, False, False
   722, NOT ,   3,   9, 21,    6.0,        27.0, False, False
   727, AND ,   9,   5, 21,    7.0,        28.0, False, False
   731, NOR ,   4,   5, 16,    4.5,        20.5, False, False
   732, NAND,   4,   2, 39,    3.0,        42.0, False, False
   733, NAND,   6,   2, 43,    4.0,        47.0, False, False
   734, NAND,   8,   2, 45,    5.0,        50.0, False, False
   735, NOT ,   9,   4, 18,    6.5,        24.5, False, False
   736, AND ,   2,   7, 17,    4.5,        21.5, False, False
   737, AND ,   2,  10, 17,    6.0,        23.0, False, False
   738, NOT ,   9,   4, 34,    6.5,        40.5, False, False
   739, AND ,   2,   7, 17,    4.5,        21.5, False, False
   740, AND ,   2,  10, 17,    6.0,        23.0, False, False
   741, NOT ,   9,   4, 52,    6.5,        58.5, False, False
   742, AND ,   2,   7, 17,    4.5,        21.5, False, False
   743, AND ,   2,  10, 17,    6.0,        23.0, False, False
   744, NOT ,   9,   4, 48,    6.5,        54.5, False, False
   745, AND ,   2,   7, 17,    4.5,        21.5, False, False
   746, AND ,   2,  10, 17,    6.0,        23.0, False, False
   747, NOT ,  10,   4, 43,    7.0,        50.0, False, False
   748, AND ,   2,   7, 17,    4.5,        21.5, False, False
   749, AND ,   2,  11, 17,    6.5,        23.5, False, False
   750, NOT ,  10,   4, 43,    7.0,        50.0, False, False
   751, AND ,   2,   7, 19,    4.5,        23.5, False, False
   752, AND ,   2,  11, 19,    6.5,        25.5, False, False
   753, NOT ,  10,   4, 41,    7.0,        48.0, False, False
   754, AND ,   2,   7, 19,    4.5,        23.5, False, False
   755, AND ,   2,  11, 19,    6.5,        25.5, False, False
   756, NOT ,  10,   4, 37,    7.0,        44.0, False, False
   757, NOR ,   2,  11, 24,    6.5,        30.5, False, False
   758, AND ,   2,   7, 24,    4.5,        28.5, False, False
   759, AND ,   2,   7, 19,    4.5,        23.5, False, False
   760, AND ,   2,  11, 19,    6.5,        25.5, False, False
   761, NAND,  12,   4, 41,    8.0,        49.0, False, False
   762, NAND,  12,   4, 43,    8.0,        51.0, False, False
   763, NAND,  14,   4, 43,    9.0,        52.0, False, False
   764, NAND,  11,   4, 52,    7.5,        59.5, False, False
   765, NAND,  11,   4, 34,    7.5,        41.5, False, False
   766, NAND,  13,   4, 34,    8.5,        42.5, False, False
   769, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   770, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   771, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   772, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   773, NAND,  15,   9, 32,   12.0,        44.0, False, False
   777, NOR ,   8,   5, 14,    6.5,        20.5, False, False
   778, NAND,  11,   7, 34,    9.0,        43.0, False, False
   781, NOR ,   8,   5, 16,    6.5,        22.5, False, False
   782, NAND,   7,   5, 34,    6.0,        40.0, False, False
   785, NOR ,   8,   5, 16,    6.5,        22.5, False, False
   786, NOR ,   8,   5, 21,    6.5,        27.5, False, False
   787, NOR ,   8,   5, 16,    6.5,        22.5, False, False
   788, NOR ,   6,  25, 30,   15.5,        45.5, False, False
   789, AND ,  10,  15, 26,   12.5,        38.5, False, False
   790, NOR ,   6,  21, 32,   13.5,        45.5, False, False
   791, AND ,  10,  13, 28,   11.5,        39.5, False, False
   792, NOR ,   6,  17, 30,   11.5,        41.5, False, False
   793, AND ,   8,  11, 28,    9.5,        37.5, False, False
   794, AND ,   2,   7, 19,    4.5,        23.5, False, False
   795, NAND,  12,  12, 35,   12.0,        47.0, False, False
   796, NAND,  17,  11, 30,   14.0,        44.0, False, False
   802, NOR ,  16,  17, 19,   16.5,        35.5, False, False
   803, NOR ,  14,  17, 21,   15.5,        36.5, False, False
   804, NOR ,  12,  15, 21,   13.5,        34.5, False, False
   805, NOR ,   4,   5, 16,    4.5,        20.5, False, False
   806, NOR ,   6,  26, 29,   16.0,        45.0, False, False
   807, AND ,   9,  17, 26,   13.0,        39.0, False, False
   808, AND ,   2,  19, 17,   10.5,        27.5, False, False
   809, AND ,   2,  19, 19,   10.5,        29.5, False, False
   810, AND ,   2,  17, 19,    9.5,        28.5, False, False
   811, NAND,  18,   5,  3,   11.5,        14.5, False, False
   812, NAND,  14,  15, 37,   14.5,        51.5, False, False
   813, NAND,  16,  15, 41,   15.5,        56.5, False, False
   814, NAND,  18,  15, 23,   16.5,        39.5, False, False
   815, NAND,  28,  10, 10,   19.0,        29.0, False, False
   819, NAND,  24,  10, 32,   17.0,        49.0, False, False
   822, NAND,  20,  10, 32,   15.0,        47.0, False, False
   825, NOR ,  18,  16, 19,   17.0,        36.0, False, False
   826, NOR ,   4,   5, 14,    4.5,        18.5, False, False
   827, NOR ,   4,   5, 16,    4.5,        20.5, False, False
   828, NOR ,   4,   5, 16,    4.5,        20.5, False, False
   829, NOT ,   6,  19,  2,   12.5,        14.5, False, False
   830, NOR ,   6,  37, 29,   21.5,        50.5, False, False
   831, AND ,   9,  16, 26,   12.5,        38.5, False, False
   832, NOR ,   6,  33, 29,   19.5,        48.5, False, False
   833, AND ,   9,  16, 26,   12.5,        38.5, False, False
   834, NOR ,   6,  29, 29,   17.5,        46.5, False, False
   835, AND ,   9,  16, 26,   12.5,        38.5, False, False
   836, AND ,   2,  18, 17,   10.0,        27.0, False, False
   837, NAND,  16,   5,  3,   10.5,        13.5, False, False
   838, NAND,  18,   5,  3,   11.5,        14.5, False, False
   839, NAND,  18,   5,  3,   11.5,        14.5, False, False
   840, NOT ,  20,   7,  1,   13.5,        14.5, False, False
   841, NAND,  13,  15,  7,   14.0,        21.0, False, False
   842, NOR ,  17,  16, 19,   16.5,        35.5, False, False
   843, NOR ,  17,  16, 19,   16.5,        35.5, False, False
   844, NOR ,  17,  16, 19,   16.5,        35.5, False, False
   845, NOR ,   4,   5, 14,    4.5,        18.5, False, False
   846, NOT ,   6,  17,  2,   11.5,        13.5, False, False
   847, NOT ,   6,  19,  2,   12.5,        14.5, False, False
   848, NOT ,   6,  19,  2,   12.5,        14.5, False, False
   849, AND ,  10,  20,  2,   15.0,        17.0, False, False
   851, AND ,   2,  18, 17,   10.0,        27.0, False, False
   852, AND ,   2,  18, 17,   10.0,        27.0, False, False
   853, AND ,   2,  18, 17,   10.0,        27.0, False, False
   854, NAND,  16,   5,  3,   10.5,        13.5, False, False
   855, NOT ,  18,   7,  1,   12.5,        13.5, False, False
   856, NOT ,  20,   7,  1,   13.5,        14.5, False, False
   857, NOT ,  20,   7,  1,   13.5,        14.5, False, False
   858, NOT ,  21,  11,  1,   16.0,        17.0, False, False
   859, NOR ,   6,   5, 14,    5.5,        19.5, False, False
   860, NOR ,   4,   5, 14,    4.5,        18.5, False, False
   861, NOR ,   4,   5, 14,    4.5,        18.5, False, False
   862, NOT ,   6,  17,  2,   11.5,        13.5, False, False
   867, NAND,  16,   7,  3,   11.5,        14.5, False, False
   868, NAND,  16,   5,  3,   10.5,        13.5, False, False
   869, NAND,  16,   5,  3,   10.5,        13.5, False, False
   870, NOT ,  18,   7,  1,   12.5,        13.5, False, False
   871, NOT ,   8,  17,  2,   12.5,        14.5, False, False
   872, NOT ,   6,  17,  2,   11.5,        13.5, False, False
   873, NOT ,   6,  17,  2,   11.5,        13.5, False, False
   875, NOT ,  18,   9,  1,   13.5,        14.5, False, False
   876, NOT ,  18,   7,  1,   12.5,        13.5, False, False
   877, NOT ,  18,   7,  1,   12.5,        13.5, False, False
