vector_id, input_vector                                                , PO_388, PO_389, PO_390, PO_391, PO_418, PO_419, PO_420, PO_421, PO_422, PO_423, PO_446, PO_447, PO_448, PO_449, PO_450, PO_767, PO_768, PO_850, PO_863, PO_864, PO_865, PO_866, PO_874, PO_878, PO_879, PO_880
       33, 100010110011111100100100001111001101000100000010001100001011,      0,      0,      0,      0,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      1,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0
       34, 010011100110111110110100101011010101011000110000101100001001,      0,      1,      0,      0,      0,      1,      0,      0,      1,      0,      1,      0,      0,      0,      1,      1,      0,      1,      0,      1,      0,      0,      0,      1,      1,      1
       35, 011111111110110111000011100101011111101001000000100000011011,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      1,      0,      0,      0,      0,      1,      0,      0,      0,      0
       36, 001001101000000111101110010001111000011100001100100100010100,      0,      1,      0,      1,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      0,      1,      1,      1,      0,      0,      0,      0,      0,      0
       37, 111001001001110111011101010001010111000111100001110001011011,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      0,      0,      1,      0,      0,      0,      1,      1,      1,      1,      0
       38, 100010011110001111101101010010111111101101101111011111000010,      0,      0,      0,      1,      0,      1,      0,      1,      1,      0,      1,      1,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
       39, 110110101011011110100010011100010011110101011000111101110111,      0,      0,      0,      0,      0,      1,      0,      0,      1,      0,      1,      1,      0,      0,      0,      0,      1,      1,      1,      1,      0,      0,      1,      1,      1,      1
       40, 010001000001110100110011100010001101011111011101001001001011,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      1
       41, 011010011001101010011111110000101010110011010100101110100011,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      0,      1,      1,      1,      0
       42, 000001101111001010000101101111001111110011010101111101100010,      0,      1,      0,      0,      0,      1,      1,      0,      1,      0,      1,      0,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1
       43, 001101001010110100110100001000100101010010001110100000110011,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      1,      0,      0,      0,      0
       44, 000001111001001010011001100100110111010000100011111001010001,      0,      1,      1,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      1,      1,      1,      1
       45, 101100001010100000011101010011101011101010100000000111000101,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      1
       46, 011101000001011110101011011100001001010110001100100011100010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      1,      0,      0,      0,      0,      0,      0
       47, 010011111111000000001111010111100010010001101100110010000000,      0,      0,      1,      0,      0,      1,      1,      1,      0,      1,      1,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      0,      1,      0,      1,      0
       48, 011010000100100100111011010011100011110011010001111111100100,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      1,      1,      1,      1
       49, 101100000100110001101001101000000101001010000010110111001110,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      0,      1,      0,      1,      0,      0,      1,      1,      1
       50, 100111000100100101001100110100011000111011111010010010110010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      1,      0,      0,      1
       51, 100011010100010011110001100101011000001010111110101110101111,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      0,      1
       52, 010000110011101101000100000010100110011111010100000111111100,      0,      0,      0,      0,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      1,      0
       53, 110101100111011111000111110010111000110000000010101111000111,      0,      1,      0,      0,      0,      1,      0,      0,      1,      0,      1,      0,      0,      0,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      0
       54, 011101010100000011001000011111111011100111010111111000011001,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      1,      1
       55, 111110010111001010101001011111110100100111000011101001101001,      0,      0,      0,      0,      1,      0,      1,      1,      1,      0,      1,      0,      0,      1,      0,      0,      0,      1,      0,      0,      1,      1,      0,      1,      1,      1
       56, 100010011111100010100000110011000111110111001000000001011000,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      0,      0,      0,      0,      1,      0,      0,      1,      1,      1,      1,      0,      1,      1
       57, 000111011000110101001001001011100101100000100001011110000111,      1,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      0,      1,      1,      1
       58, 100000011110110011111110000001110110011011001100101011100001,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      0,      0,      1,      1,      0,      1,      1,      0,      1,      0
       59, 100110110011001110111010011000101110011111000011110001010100,      0,      0,      0,      0,      0,      1,      0,      0,      0,      1,      1,      0,      0,      0,      0,      0,      1,      0,      1,      0,      0,      0,      1,      0,      0,      1
       60, 010101010011010011000011110111110011100011001011111000100001,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      0,      1,      1,      1,      1
       61, 011001001100101011110010101001100000101110010110001011101000,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0,      1,      1,      0,      1,      0,      1,      1,      0,      0
       62, 011010011110100110001101110111010100000001001000110000010011,      0,      0,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      0,      0,      1,      1,      0,      1,      0,      1,      1,      1,      1,      1,      1,      1
       63, 111110100000101101111010001101100000101010100001000010101001,      0,      0,      0,      1,      1,      0,      1,      1,      1,      1,      1,      0,      0,      0,      0,      0,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0
       64, 110001001111101110010011101111111000100100001001101101010110,      0,      0,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      0,      0,      0,      0
       65, 000100011001001100011110010110111011011111001000100001001101,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      0,      0,      0,      0,      0
       66, 110010000000000101010011100100101100110000100010001001110101,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0,      1,      1,      0,      1,      1,      0,      1
       67, 110101100111000001011100111111101101111110001000110010001100,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      1,      1,      0,      1
       68, 101001110011001000001000011111000011110011010100110111110111,      0,      0,      1,      0,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      1,      1,      1,      0
       69, 010101001110101011001110100100010000100001001111110110001101,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      0,      0,      1,      1,      1
       70, 101011000101110101111011011111100001011000100110111101000011,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      1,      1,      1
       71, 011111110101001111101110011100010111111111100000100010001001,      1,      1,      1,      1,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      0,      1,      0,      0,      0,      0,      1,      0,      1,      0,      1
       72, 001001100110000011111100111110011111010001110111011001011100,      0,      1,      0,      1,      0,      1,      1,      0,      1,      0,      1,      0,      0,      0,      1,      1,      1,      0,      1,      1,      1,      0,      1,      1,      0,      1
       73, 110101011110000101111010000001101000001011111101000110100110,      1,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      1,      1,      1,      1,      0,      0,      1,      1,      1,      1
       74, 001100010011110001110100001100101000101000101001000101110011,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1
       75, 010111100111100011111010010101010111100000000010001110100001,      0,      1,      0,      1,      0,      1,      1,      0,      1,      1,      1,      0,      0,      0,      0,      0,      0,      0,      1,      1,      1,      0,      1,      1,      0,      1
       76, 010111010010000010000101110001101111111100111111001001010010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      1,      1
       77, 100011001100110100110101010011110001010101000110011100101011,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      0,      0,      1,      0,      0,      1,      0,      1,      1,      0,      1,      1,      1,      0
       78, 011001011000011100111101101011010001000000101011101000110010,      1,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      0,      0,      1,      1,      1,      1,      0,      0,      0,      0,      1
       79, 100101010011100110101100010001111001111010110100110010100111,      1,      0,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      0,      0,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      0,      0
       80, 100000101001000100111111000000100001010110111000001011000001,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      0,      0,      0,      1,      0,      0,      0,      1,      1,      0,      1
       81, 111011011100110010100111111011001100001111001010110000110101,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
       82, 100100000111110000010111010011110001000001000110001001011001,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      0,      0,      0,      0,      1,      1,      0,      0,      0,      1,      0
       83, 111010110011100000111111011100100001001101100011011100111000,      0,      0,      0,      0,      0,      1,      1,      1,      0,      1,      1,      0,      0,      0,      1,      1,      0,      1,      1,      1,      1,      0,      1,      0,      1,      1
       84, 111100101111011001100101101001101101011101001000101001111000,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      1,      0,      0,      1,      0,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
       85, 001100100110010101001111010010000111010001110001001001101111,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      0,      1,      1,      1,      1,      0,      1,      1,      0,      1
       86, 001001011110001110111100101110110010101111000110101110001011,      1,      0,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      0,      0,      1,      0,      0,      1,      1,      1,      1,      0,      1,      1,      1,      0
       87, 010110011100000001111001111100101010010100111111100100111010,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      1,      0,      1,      1,      0,      1,      0,      0,      1
       88, 000001100011101111100101011100110100110001010101111111100110,      0,      1,      0,      1,      0,      1,      0,      0,      1,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      1,      1
       89, 100101100011011100001101010010001110100101000111110111101011,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      0,      1,      1,      0,      1,      1,      0,      1,      1,      1,      1
       90, 110011111101110010100001001101100000000001000111011111001011,      0,      1,      1,      0,      0,      1,      1,      1,      1,      0,      1,      1,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      0,      1,      1,      0
       91, 101101010101001001100001101000110110111100011011110011011000,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      0,      1,      0,      0,      0,      1,      0,      1,      1
       92, 101101101000000110111001010100100000101000000101000010001111,      0,      1,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
       93, 001000100101010100001001000001110001110000101110000010101000,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      0,      0,      1,      1,      0,      0,      0,      0,      0
       94, 011000011011110000001000111010010001010011010010110101101000,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      0,      1,      1,      1,      0,      1,      1,      1,      1
       95, 100111010100001101110100110001001011101100010011000110101101,      1,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      0,      1,      1,      0,      0,      1,      0,      1,      0,      0,      0
       96, 011001101110010100111011000010010011111001111011110010010100,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      0,      0,      1,      0
       97, 010010001101111010000111111110101011100111001000000010111000,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      0,      1,      1,      1,      0,      0,      0,      0,      0
       98, 110110100110110011110110100010101101000100010101101101111011,      0,      0,      0,      1,      0,      1,      1,      0,      1,      1,      1,      0,      0,      0,      1,      0,      0,      1,      0,      1,      1,      0,      1,      1,      0,      1
       99, 111001111011000011101001110100011101111000011101101000110111,      0,      1,      1,      1,      0,      1,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      0,      1,      1,      1
      100, 110101000110100111101100000111110100011111000000011000011110,      0,      0,      0,      1,      0,      1,      0,      1,      1,      0,      1,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      1,      1,      0,      1,      1
      101, 110100000010000100011000001010010000001000111000000010000110,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0
      102, 100111001010100111001101111101110011001011000110001010100111,      0,      0,      0,      0,      0,      1,      0,      1,      1,      0,      1,      1,      0,      0,      1,      0,      1,      1,      0,      1,      0,      0,      1,      1,      1,      0
      103, 111111101001110000001001101001101111100101111110001011011101,      0,      0,      0,      0,      1,      0,      1,      1,      1,      0,      1,      1,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1
      104, 110011111110000110110111110000100101001011110101111010011101,      1,      1,      1,      0,      0,      1,      0,      0,      0,      1,      1,      1,      0,      0,      1,      0,      1,      0,      0,      1,      1,      1,      1,      1,      1,      1
      105, 110100110110001101101011110111100010111001100011110011101010,      0,      0,      0,      1,      0,      1,      1,      1,      0,      1,      1,      0,      0,      0,      0,      1,      1,      1,      0,      1,      1,      0,      1,      0,      1,      1
      106, 000001111100010011001000110110100001100011101000001111011011,      0,      1,      1,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      0,      1,      1,      1,      0,      0,      1,      1,      1
      107, 101011110000111100110111001001110101111100101111000100101100,      1,      0,      1,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      1
      108, 000111101011001101100000101001110010001110000111101001010100,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      1,      1,      0,      0,      0,      1,      1,      0,      0
      109, 110101100101101110000101100111110001011100110101001111111110,      0,      1,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      1,      0,      1,      1,      0,      1,      0,      0,      1
      110, 110100000001101101011111000100100100010010101011010001111010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      1,      1,      1,      1,      1
      111, 110001100101100100001110011110101011111101101100110010111011,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      0,      1,      1,      0,      0
      112, 001011000011011110001001001111111000010100100011111111000000,      0,      0,      0,      0,      0,      1,      0,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1
      113, 000010010011011000011101001101001111011110001101110111100101,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      1,      1,      1,      0
      114, 110011011111001010000101110000111000011000011110100011000000,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      1,      0,      0,      0
      115, 001011100110001100111001111001001111101000011101010001111110,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      1,      1
      116, 101101110100110100110001011001110001101100111010010110011000,      1,      0,      1,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      1,      1,      0,      1,      0,      1,      0,      1,      1
      117, 101010111111111000110001100101001100011111100010110010010011,      0,      0,      0,      0,      0,      1,      1,      1,      0,      0,      1,      1,      0,      0,      0,      1,      1,      1,      0,      1,      1,      1,      0,      1,      1,      1
      118, 111110011101011011011000100000100001001011010110101110000100,      0,      0,      0,      0,      1,      0,      1,      1,      1,      0,      1,      1,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1
      119, 100110010001101011110000011010111010100100011100010011001100,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      0,      0,      1,      0,      1,      0,      1,      0,      0,      0
      120, 011111010001010011011111011011000100011100010111100011010001,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      1,      1,      0,      0,      0,      0,      1,      1,      0,      1
      121, 100100110110001011000000010100110101111011100011110101000100,      0,      0,      0,      0,      0,      1,      1,      0,      0,      0,      1,      0,      0,      0,      0,      0,      1,      1,      0,      1,      1,      1,      1,      1,      1,      1
      122, 001100011011001010100101000011000101100001110100111101011000,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      1,      1,      1,      1
      123, 000011111000000111100111110000011000010111111100101000010011,      1,      1,      1,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      0,      0,      1,      1,      0,      0,      1,      1,      1,      1
      124, 101001001000110100001001010000010001010110110100000011110001,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      0,      0,      1,      0,      0,      0,      0,      0,      0
      125, 010010100100111101111111000010101110110001110011111111111100,      0,      0,      0,      1,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      0,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1
      126, 101010101000010010111100101111101010001011101011011010010111,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      1,      0,      0,      1,      1,      0,      1,      1,      1,      1,      0,      0,      1,      1,      1
      127, 011111000011101010101110000010000110010101001110001101000111,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1
      128, 010110001010111100111110100111001000110011010011101001001111,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1,      0,      0,      0,      1,      1,      0,      1,      1,      1,      0
      129, 010010011110001011000001010001011000010011100010010000100100,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      1,      0,      0,      0,      0,      1,      0,      1,      0
      130, 000001011001100001100110101001100011100101101011010110000010,      0,      0,      0,      1,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      0,      0,      0,      1,      1
      131, 100001110010001101101100110000011010010000000000011100010011,      1,      0,      1,      1,      0,      1,      1,      1,      0,      0,      1,      0,      0,      0,      1,      0,      1,      0,      0,      0,      0,      0,      1,      1,      0,      1
      132, 101101110111101011010011111111010100000111111111010010011111,      0,      1,      1,      0,      0,      1,      1,      0,      0,      1,      1,      0,      0,      0,      0,      0,      1,      1,      1,      1,      1,      1,      1,      1,      1,      1
      133, 011001010011010000011001011111100101011001000111100100010010,      0,      0,      0,      0,      0,      1,      1,      1,      1,      0,      1,      0,      0,      0,      0,      1,      1,      0,      0,      0,      1,      0,      1,      1,      1,      0
