rank, signal, gate, level, fanout, PO_count, PO_impact           , PO_impact_%        , reachable_POs
  19,    466, NAND,     5,      8,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  20,    195,     ,     0,      5,        9, 0.34615384615384615 , 34.61538461538461  , "['768', '863', '864', '865', '866', '874', '878', '879', '880']"
  21,    261,     ,     0,      5,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  22,    310, NOT ,     1,      5,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  23,    369, NOT ,     2,      5,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  24,    393, NOT ,     3,      5,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  25,    116,     ,     0,      4,        9, 0.34615384615384615 , 34.61538461538461  , "['767', '863', '864', '865', '866', '874', '878', '879', '880']"
  26,    437, NAND,     4,      4,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  27,    483, NAND,     5,      4,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  28,    654, OR  ,     9,      4,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  29,    722, NOT ,    10,      4,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  30,    581, NAND,     8,      3,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  31,    153,     ,     0,      2,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  32,    156,     ,     0,      2,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  33,    287, AND ,     1,      2,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  34,    319, NAND,     1,      2,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  35,    651, NAND,     9,      2,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  36,    268,     ,     0,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  37,    279, NAND,     1,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  38,    294, AND ,     1,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  39,    322, NOR ,     1,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  40,    323, AND ,     1,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  41,    345, NOT ,     2,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  42,    347, NOT ,     2,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  43,    352, NOT ,     2,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  44,    375, NOR ,     2,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  45,    410, NAND,     3,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  46,    442, NAND,     4,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  47,    443, NAND,     4,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  48,    491, OR  ,     5,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  49,    516, AND ,     6,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  50,    517, AND ,     6,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  51,    543, NOR ,     7,      1,        9, 0.34615384615384615 , 34.61538461538461  , "['850', '863', '864', '865', '866', '874', '878', '879', '880']"
  52,    210,     ,     0,      8,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  53,    219,     ,     0,      8,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  54,    228,     ,     0,      8,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  55,    237,     ,     0,      8,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  56,    246,     ,     0,      8,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  57,    451, NOT ,     5,      8,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  58,    189,     ,     0,      5,        8, 0.3076923076923077  , 30.76923076923077  , "['768', '863', '864', '866', '874', '878', '879', '880']"
  59,    644, OR  ,     9,      5,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  60,    111,     ,     0,      4,        8, 0.3076923076923077  , 30.76923076923077  , "['767', '863', '864', '866', '874', '878', '879', '880']"
  61,    577, NAND,     8,      3,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  62,    713, NOT ,    10,      3,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  63,    149,     ,     0,      2,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  64,    641, NAND,     9,      2,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  65,     72,     ,     0,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  66,     73,     ,     0,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  67,    284, NAND,     1,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  68,    348, NOR ,     2,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  69,    400, AND ,     3,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  70,    424, NOT ,     4,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['850', '863', '864', '865', '874', '878', '879', '880']"
  71,    490, OR  ,     5,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  72,    514, AND ,     6,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  73,    515, AND ,     6,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  74,    542, NOR ,     7,      1,        8, 0.3076923076923077  , 30.76923076923077  , "['863', '864', '865', '866', '874', '878', '879', '880']"
  75,    183,     ,     0,      5,        7, 0.2692307692307692  , 26.923076923076923 , "['768', '863', '866', '874', '878', '879', '880']"
  76,    106,     ,     0,      4,        7, 0.2692307692307692  , 26.923076923076923 , "['767', '863', '866', '874', '878', '879', '880']"
  77,    635, OR  ,     9,      4,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  78,    573, NAND,     8,      3,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  79,    146,     ,     0,      2,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  80,    632, NAND,     9,      2,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  81,    705, NOT ,    10,      2,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  82,    489, OR  ,     5,      1,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  83,    512, AND ,     6,      1,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  84,    513, AND ,     6,      1,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  85,    541, NOR ,     7,      1,        7, 0.2692307692307692  , 26.923076923076923 , "['863', '864', '866', '874', '878', '879', '880']"
  86,     36,     ,     0,      5,        6, 0.23076923076923078 , 23.076923076923077 , "['389', '390', '419', '421', '422', '446']"
  87,    177,     ,     0,      5,        6, 0.23076923076923078 , 23.076923076923077 , "['768', '866', '874', '878', '879', '880']"
  88,    101,     ,     0,      4,        6, 0.23076923076923078 , 23.076923076923077 , "['767', '866', '874', '878', '879', '880']"
  89,    569, NAND,     8,      3,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  90,    773, NAND,    12,      3,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  91,    143,     ,     0,      2,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  92,    625, NAND,     9,      2,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  93,    628, OR  ,     9,      2,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  94,    697, NOT ,    10,      2,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  95,    488, OR  ,     5,      1,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  96,    510, AND ,     6,      1,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  97,    511, AND ,     6,      1,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  98,    540, NOR ,     7,      1,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
  99,    734, NAND,    10,      1,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
 100,    750, NOT ,    11,      1,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
 101,    762, NAND,    11,      1,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
 102,    763, NAND,    11,      1,        6, 0.23076923076923078 , 23.076923076923077 , "['863', '866', '874', '878', '879', '880']"
 103,    171,     ,     0,      5,        5, 0.19230769230769232 , 19.230769230769234 , "['768', '866', '878', '879', '880']"
 104,    796, NAND,    14,      5,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 105,     96,     ,     0,      4,        5, 0.19230769230769232 , 19.230769230769234 , "['767', '866', '878', '879', '880']"
 106,    138,     ,     0,      4,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 107,    427, AND ,     4,      4,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 108,    432, AND ,     4,      4,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 109,    619, OR  ,     9,      4,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 110,    687, NOT ,    10,      4,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 111,    565, NAND,     8,      3,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 112,    616, NAND,     9,      2,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 113,    152,     ,     0,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 114,    318, AND ,     1,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 115,    481, AND ,     5,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 116,    482, AND ,     5,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 117,    508, AND ,     6,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 118,    509, NOR ,     6,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 119,    539, NOR ,     7,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 120,    747, NOT ,    11,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 121,    795, NAND,    13,      1,        5, 0.19230769230769232 , 19.230769230769234 , "['866', '874', '878', '879', '880']"
 122,    165,     ,     0,      5,        4, 0.15384615384615385 , 15.384615384615385 , "['768', '866', '878', '879']"
 123,    609, OR  ,     9,      5,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 124,     91,     ,     0,      4,        4, 0.15384615384615385 , 15.384615384615385 , "['767', '866', '878', '879']"
 125,    561, NAND,     8,      3,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 126,    678, NOT ,    10,      3,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 127,    606, NAND,     9,      2,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 128,    317, AND ,     1,      1,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 129,    479, AND ,     5,      1,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 130,    480, AND ,     5,      1,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 131,    506, AND ,     6,      1,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 132,    507, NOR ,     6,      1,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 133,    538, NOR ,     7,      1,        4, 0.15384615384615385 , 15.384615384615385 , "['866', '878', '879', '880']"
 134,    159,     ,     0,      5,        3, 0.11538461538461539 , 11.538461538461538 , "['768', '866', '878']"
 135,    600, OR  ,     9,      4,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 136,    255,     ,     0,      3,        3, 0.11538461538461539 , 11.538461538461538 , "['850', '864', '865']"
 137,    557, NAND,     8,      3,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 138,    597, NAND,     9,      2,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 139,    670, NOT ,    10,      2,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 140,    316, AND ,     1,      1,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 141,    477, AND ,     5,      1,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 142,    478, AND ,     5,      1,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 143,    504, AND ,     6,      1,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 144,    505, NOR ,     6,      1,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 145,    537, NOR ,     7,      1,        3, 0.11538461538461539 , 11.538461538461538 , "['866', '878', '879']"
 146,    130,     ,     0,      4,        2, 0.07692307692307693 ,  7.6923076923076925, "['767', '768']"
 147,    553, NAND,     8,      3,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 148,    815, NAND,    16,      3,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 149,    270, NAND,     1,      2,        2, 0.07692307692307693 ,  7.6923076923076925, "['419', '446']"
 150,    273, AND ,     1,      2,        2, 0.07692307692307693 ,  7.6923076923076925, "['419', '446']"
 151,    298, OR  ,     1,      2,        2, 0.07692307692307693 ,  7.6923076923076925, "['423', '450']"
 152,    590, NAND,     9,      2,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 153,    593, OR  ,     9,      2,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 154,    662, NOT ,    10,      2,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 155,     87,     ,     0,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['423', '450']"
 156,     88,     ,     0,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['423', '450']"
 157,    309, AND ,     1,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 158,    475, AND ,     5,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 159,    476, AND ,     5,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 160,    502, AND ,     6,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 161,    503, NOR ,     6,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 162,    536, NOR ,     7,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 163,    738, NOT ,    11,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 164,    765, NAND,    11,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 165,    766, NAND,    11,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 166,    814, NAND,    15,      1,        2, 0.07692307692307693 ,  7.6923076923076925, "['866', '878']"
 167,    665, AND ,    10,      3,        1, 0.038461538461538464,  3.8461538461538463, ['878']
 168,    673, AND ,    10,      3,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 169,    682, AND ,    10,      3,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 170,    692, AND ,    10,      3,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 171,    700, AND ,    10,      3,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 172,    708, AND ,    10,      3,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 173,    717, AND ,    10,      3,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 174,    727, AND ,    10,      3,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 175,    135,     ,     0,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 176,    207,     ,     0,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 177,    357, NAND,     2,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 178,    360, NAND,     2,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 179,    363, NAND,     2,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 180,    366, NAND,     2,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 181,    376, NAND,     2,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 182,    379, NAND,     2,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 183,    382, NAND,     2,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 184,    385, NAND,     2,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 185,    460, NOR ,     5,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 186,    463, NOR ,     5,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 187,    492, NOR ,     5,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 188,    495, NOR ,     5,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 189,    530, NAND,     7,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 190,    533, NAND,     7,      2,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 191,    544, NAND,     7,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 192,    547, NAND,     7,      2,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 193,    778, NAND,    12,      2,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 194,    782, NAND,    12,      2,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 195,    819, NAND,    16,      2,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 196,    822, NAND,    16,      2,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 197,     74,     ,     0,      1,        1, 0.038461538461538464,  3.8461538461538463, ['449']
 198,     85,     ,     0,      1,        1, 0.038461538461538464,  3.8461538461538463, ['391']
 199,     86,     ,     0,      1,        1, 0.038461538461538464,  3.8461538461538463, ['391']
 200,     89,     ,     0,      1,        1, 0.038461538461538464,  3.8461538461538463, ['450']
 201,     90,     ,     0,      1,        1, 0.038461538461538464,  3.8461538461538463, ['423']
 202,    259,     ,     0,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 203,    260,     ,     0,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 204,    267,     ,     0,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 205,    269, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['418']
 206,    285, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['448']
 207,    286, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['449']
 208,    290, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['388']
 209,    291, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['389']
 210,    292, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['390']
 211,    293, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['420']
 212,    295, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['421']
 213,    296, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['422']
 214,    297, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['391']
 215,    301, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 216,    302, OR  ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 217,    303, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 218,    304, OR  ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 219,    305, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 220,    306, OR  ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 221,    307, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 222,    308, OR  ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['767']
 223,    324, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 224,    325, OR  ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 225,    326, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 226,    327, OR  ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 227,    328, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 228,    329, OR  ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 229,    330, NAND,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 230,    331, OR  ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['768']
 231,    332, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['879']
 232,    333, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['880']
 233,    334, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['874']
 234,    335, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['863']
 235,    336, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 236,    337, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['864']
 237,    338, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 238,    339, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['865']
 239,    340, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 240,    341, AND ,     1,      1,        1, 0.038461538461538464,  3.8461538461538463, ['850']
 241,    342, NOT ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['418']
 242,    343, NOT ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['446']
 243,    344, OR  ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['419']
 244,    346, NOT ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['447']
 245,    349, OR  ,     2,      1,        1, 0.038461538461538464,  3.8461538461538463, ['448']
