fault_number,net,site_type,gate,stuck_at
585,36,branch,295,0
586,36,branch,295,1
587,36,branch,296,0
588,36,branch,296,1
589,36,net,,0
590,36,net,,1
591,360,branch,405,0
592,360,branch,405,1
593,360,branch,406,0
594,360,branch,406,1
595,360,net,,0
596,360,net,,1
597,363,branch,407,0
598,363,branch,407,1
599,363,branch,409,0
600,363,branch,409,1
601,363,net,,0
602,363,net,,1
603,366,branch,408,0
604,366,branch,408,1
605,366,branch,409,0
606,366,branch,409,1
607,366,net,,0
608,366,net,,1
609,369,branch,417,0
610,369,branch,417,1
611,369,branch,488,0
612,369,branch,488,1
613,369,branch,489,0
614,369,branch,489,1
615,369,branch,490,0
616,369,branch,490,1
617,369,branch,491,0
618,369,branch,491,1
619,369,net,,0
620,369,net,,1
621,375,net,,0
622,375,net,,1
623,376,branch,411,0
624,376,branch,411,1
625,376,branch,413,0
626,376,branch,413,1
627,376,net,,0
628,376,net,,1
629,379,branch,412,0
630,379,branch,412,1
631,379,branch,413,0
632,379,branch,413,1
633,379,net,,0
634,379,net,,1
635,382,branch,414,0
636,382,branch,414,1
637,382,branch,416,0
638,382,branch,416,1
639,382,net,,0
640,382,net,,1
641,385,branch,415,0
642,385,branch,415,1
643,385,branch,416,0
644,385,branch,416,1
645,385,net,,0
646,385,net,,1
647,388,net,,0
648,388,net,,1
649,389,net,,0
650,389,net,,1
651,390,net,,0
652,390,net,,1
653,391,net,,0
654,391,net,,1
655,392,net,,0
656,392,net,,1
657,393,branch,427,0
658,393,branch,427,1
659,393,branch,432,0
660,393,branch,432,1
661,393,branch,437,0
662,393,branch,437,1
663,393,branch,442,0
664,393,branch,442,1
665,393,branch,443,0
666,393,branch,443,1
667,393,net,,0
668,393,net,,1
669,399,net,,0
670,399,net,,1
671,400,net,,0
672,400,net,,1
673,401,net,,0
674,401,net,,1
675,402,net,,0
676,402,net,,1
677,403,net,,0
678,403,net,,1
679,404,net,,0
680,404,net,,1
681,405,net,,0
682,405,net,,1
683,406,net,,0
684,406,net,,1
685,407,net,,0
686,407,net,,1
687,408,net,,0
688,408,net,,1
689,409,net,,0
690,409,net,,1
691,410,net,,0
692,410,net,,1
693,411,net,,0
694,411,net,,1
695,412,net,,0
696,412,net,,1
697,413,net,,0
698,413,net,,1
699,414,net,,0
700,414,net,,1
701,415,net,,0
702,415,net,,1
703,416,net,,0
704,416,net,,1
705,417,net,,0
706,417,net,,1
707,418,net,,0
708,418,net,,1
709,419,net,,0
710,419,net,,1
711,42,branch,273,0
712,42,branch,273,1
713,42,branch,284,0
714,42,branch,284,1
715,42,branch,290,0
716,42,branch,290,1
717,42,branch,292,0
718,42,branch,292,1
719,42,branch,294,0
720,42,branch,294,1
721,42,branch,296,0
722,42,branch,296,1
723,42,branch,322,0
724,42,branch,322,1
725,42,branch,323,0
726,42,branch,323,1
727,42,net,,0
728,42,net,,1
729,420,net,,0
730,420,net,,1
731,421,net,,0
732,421,net,,1
733,422,net,,0
734,422,net,,1
735,423,net,,0
736,423,net,,1
737,424,net,,0
738,424,net,,1
739,425,net,,0
740,425,net,,1
741,426,net,,0
742,426,net,,1
743,427,branch,475,0
744,427,branch,475,1
745,427,branch,477,0
746,427,branch,477,1
747,427,branch,479,0
748,427,branch,479,1
749,427,branch,481,0
750,427,branch,481,1
751,427,net,,0
752,427,net,,1
753,432,branch,476,0
754,432,branch,476,1
755,432,branch,478,0
756,432,branch,478,1
757,432,branch,480,0
758,432,branch,480,1
759,432,branch,482,0
760,432,branch,482,1
761,432,net,,0
762,432,net,,1
763,437,branch,488,0
764,437,branch,488,1
765,437,branch,489,0
766,437,branch,489,1
767,437,branch,490,0
768,437,branch,490,1
769,437,branch,491,0
770,437,branch,491,1
771,437,net,,0
772,437,net,,1
773,442,net,,0
774,442,net,,1
775,443,net,,0
776,443,net,,1
777,444,net,,0
778,444,net,,1
779,445,net,,0
780,445,net,,1
781,446,net,,0
782,446,net,,1
783,447,net,,0
784,447,net,,1
785,448,net,,0
786,448,net,,1
787,449,net,,0
788,449,net,,1
789,450,net,,0
790,450,net,,1
791,451,branch,522,0
792,451,branch,522,1
793,451,branch,523,0
794,451,branch,523,1
795,451,branch,524,0
796,451,branch,524,1
797,451,branch,525,0
798,451,branch,525,1
799,451,branch,526,0
800,451,branch,526,1
801,451,branch,527,0
802,451,branch,527,1
803,451,branch,528,0
804,451,branch,528,1
805,451,branch,529,0
806,451,branch,529,1
807,451,net,,0
808,451,net,,1
809,460,branch,498,0
810,460,branch,498,1
811,460,branch,499,0
812,460,branch,499,1
813,460,net,,0
814,460,net,,1
815,463,branch,500,0
816,463,branch,500,1
817,463,branch,501,0
818,463,branch,501,1
819,463,net,,0
820,463,net,,1
821,466,branch,502,0
822,466,branch,502,1
823,466,branch,504,0
824,466,branch,504,1
825,466,branch,506,0
826,466,branch,506,1
827,466,branch,508,0
828,466,branch,508,1
829,466,branch,511,0
830,466,branch,511,1
831,466,branch,513,0
832,466,branch,513,1
833,466,branch,515,0
834,466,branch,515,1
835,466,branch,517,0
836,466,branch,517,1
837,466,net,,0
838,466,net,,1
839,475,net,,0
840,475,net,,1
841,476,net,,0
842,476,net,,1
843,477,net,,0
844,477,net,,1
845,478,net,,0
846,478,net,,1
847,479,net,,0
848,479,net,,1
849,480,net,,0
850,480,net,,1
851,481,net,,0
852,481,net,,1
853,482,net,,0
854,482,net,,1
855,483,branch,510,0
856,483,branch,510,1
857,483,branch,512,0
858,483,branch,512,1
859,483,branch,514,0
860,483,branch,514,1
861,483,branch,516,0
862,483,branch,516,1
863,483,net,,0
864,483,net,,1
865,488,net,,0
866,488,net,,1
867,489,net,,0
868,489,net,,1
869,490,net,,0
870,490,net,,1
871,491,net,,0
872,491,net,,1
873,492,branch,518,0
874,492,branch,518,1
875,492,branch,519,0
876,492,branch,519,1
877,492,net,,0
878,492,net,,1
879,495,branch,520,0
880,495,branch,520,1
881,495,branch,521,0
882,495,branch,521,1
883,495,net,,0
884,495,net,,1
885,498,net,,0
886,498,net,,1
887,499,net,,0
888,499,net,,1
889,500,net,,0
890,500,net,,1
891,501,net,,0
892,501,net,,1
893,502,net,,0
894,502,net,,1
895,503,net,,0
896,503,net,,1
897,504,net,,0
898,504,net,,1
899,505,net,,0
900,505,net,,1
901,506,net,,0
902,506,net,,1
903,507,net,,0
904,507,net,,1
905,508,net,,0
906,508,net,,1
907,509,net,,0
908,509,net,,1
909,51,branch,276,0
910,51,branch,276,1
911,51,branch,279,0
912,51,branch,279,1
913,51,branch,316,0
914,51,branch,316,1
915,51,net,,0
916,51,net,,1
917,510,net,,0
918,510,net,,1
919,511,net,,0
920,511,net,,1
921,512,net,,0
922,512,net,,1
923,513,net,,0
924,513,net,,1
925,514,net,,0
926,514,net,,1
927,515,net,,0
928,515,net,,1
929,516,net,,0
930,516,net,,1
931,517,net,,0
932,517,net,,1
933,518,net,,0
934,518,net,,1
935,519,net,,0
936,519,net,,1
937,520,net,,0
938,520,net,,1
939,521,net,,0
940,521,net,,1
941,522,net,,0
942,522,net,,1
943,523,net,,0
944,523,net,,1
945,524,net,,0
946,524,net,,1
947,525,net,,0
948,525,net,,1
949,526,net,,0
950,526,net,,1
951,527,net,,0
952,527,net,,1
953,528,net,,0
954,528,net,,1
955,529,net,,0
956,529,net,,1
957,530,branch,550,0
958,530,branch,550,1
959,530,branch,552,0
960,530,branch,552,1
961,530,net,,0
962,530,net,,1
963,533,branch,551,0
964,533,branch,551,1
965,533,branch,552,0
966,533,branch,552,1
967,533,net,,0
968,533,net,,1
969,536,net,,0
970,536,net,,1
971,537,net,,0
972,537,net,,1
973,538,net,,0
974,538,net,,1
975,539,net,,0
976,539,net,,1
977,540,net,,0
978,540,net,,1
979,541,net,,0
980,541,net,,1
981,542,net,,0
982,542,net,,1
983,543,net,,0
984,543,net,,1
985,544,branch,585,0
986,544,branch,585,1
987,544,branch,587,0
988,544,branch,587,1
989,544,net,,0
990,544,net,,1
991,547,branch,586,0
992,547,branch,586,1
993,547,branch,587,0
994,547,branch,587,1
995,547,net,,0
996,547,net,,1
997,55,branch,280,0
998,55,branch,280,1
999,55,branch,427,0
1000,55,branch,427,1
1001,55,branch,437,0
1002,55,branch,437,1
1003,55,net,,0
1004,55,net,,1
1005,550,net,,0
1006,550,net,,1
1007,551,net,,0
1008,551,net,,1
1009,552,net,,0
1010,552,net,,1
1011,553,branch,590,0
1012,553,branch,590,1
1013,553,branch,593,0
1014,553,branch,593,1
1015,553,branch,596,0
1016,553,branch,596,1
1017,553,net,,0
1018,553,net,,1
1019,557,branch,597,0
1020,557,branch,597,1
1021,557,branch,600,0
1022,557,branch,600,1
1023,557,branch,605,0
1024,557,branch,605,1
1025,557,net,,0
1026,557,net,,1
1027,561,branch,606,0
1028,561,branch,606,1
1029,561,branch,609,0
1030,561,branch,609,1
1031,561,branch,615,0
1032,561,branch,615,1
1033,561,net,,0
1034,561,net,,1
1035,565,branch,616,0
1036,565,branch,616,1
1037,565,branch,619,0
1038,565,branch,619,1
1039,565,branch,624,0
1040,565,branch,624,1
1041,565,net,,0
1042,565,net,,1
1043,569,branch,625,0
1044,569,branch,625,1
1045,569,branch,628,0
1046,569,branch,628,1
1047,569,branch,631,0
1048,569,branch,631,1
1049,569,net,,0
1050,569,net,,1
1051,573,branch,632,0
1052,573,branch,632,1
1053,573,branch,635,0
1054,573,branch,635,1
1055,573,branch,640,0
1056,573,branch,640,1
1057,573,net,,0
1058,573,net,,1
1059,577,branch,641,0
1060,577,branch,641,1
1061,577,branch,644,0
1062,577,branch,644,1
1063,577,branch,650,0
1064,577,branch,650,1
1065,577,net,,0
1066,577,net,,1
1067,581,branch,651,0
1068,581,branch,651,1
1069,581,branch,654,0
1070,581,branch,654,1
1071,581,branch,659,0
1072,581,branch,659,1
1073,581,net,,0
1074,581,net,,1
1075,585,net,,0
1076,585,net,,1
1077,586,net,,0
1078,586,net,,1
1079,587,net,,0
1080,587,net,,1
1081,588,net,,0
1082,588,net,,1
1083,589,net,,0
1084,589,net,,1
1085,59,branch,284,0
1086,59,branch,284,1
1087,59,branch,286,0
1088,59,branch,286,1
1089,59,branch,293,0
1090,59,branch,293,1
1091,59,branch,294,0
1092,59,branch,294,1
1093,59,branch,295,0
1094,59,branch,295,1
1095,59,branch,296,0
1096,59,branch,296,1
1097,59,branch,319,0
1098,59,branch,319,1
1099,59,branch,442,0
1100,59,branch,442,1
1101,59,net,,0
1102,59,net,,1
1103,590,branch,662,0
1104,590,branch,662,1
1105,590,branch,665,0
1106,590,branch,665,1
1107,590,net,,0
1108,590,net,,1
1109,593,branch,665,0
1110,593,branch,665,1
1111,593,branch,841,0
1112,593,branch,841,1
1113,593,net,,0
1114,593,net,,1
1115,596,net,,0
1116,596,net,,1
1117,597,branch,670,0
1118,597,branch,670,1
1119,597,branch,673,0
1120,597,branch,673,1
1121,597,net,,0
1122,597,net,,1
1123,600,branch,673,0
1124,600,branch,673,1
1125,600,branch,765,0
1126,600,branch,765,1
1127,600,branch,766,0
1128,600,branch,766,1
1129,600,branch,814,0
1130,600,branch,814,1
1131,600,net,,0
1132,600,net,,1
1133,605,net,,0
1134,605,net,,1
1135,606,branch,678,0
1136,606,branch,678,1
1137,606,branch,682,0
1138,606,branch,682,1
1139,606,net,,0
1140,606,net,,1
1141,609,branch,682,0
1142,609,branch,682,1
1143,609,branch,764,0
1144,609,branch,764,1
1145,609,branch,766,0
1146,609,branch,766,1
1147,609,branch,813,0
1148,609,branch,813,1
1149,609,branch,814,0
1150,609,branch,814,1
1151,609,net,,0
1152,609,net,,1
1153,615,net,,0
1154,615,net,,1
1155,616,branch,687,0
1156,616,branch,687,1
1157,616,branch,692,0
1158,616,branch,692,1
1159,616,net,,0
1160,616,net,,1
1161,619,branch,692,0
1162,619,branch,692,1
1163,619,branch,812,0
1164,619,branch,812,1
1165,619,branch,813,0
1166,619,branch,813,1
1167,619,branch,814,0
1168,619,branch,814,1
1169,619,net,,0
1170,619,net,,1
1171,624,net,,0
1172,624,net,,1
1173,625,branch,697,0
1174,625,branch,697,1
1175,625,branch,700,0
1176,625,branch,700,1
1177,625,net,,0
1178,625,net,,1
1179,628,branch,700,0
1180,628,branch,700,1
1181,628,branch,795,0
1182,628,branch,795,1
1183,628,net,,0
1184,628,net,,1
1185,631,net,,0
1186,631,net,,1
1187,632,branch,705,0
1188,632,branch,705,1
1189,632,branch,708,0
1190,632,branch,708,1
1191,632,net,,0
1192,632,net,,1
1193,635,branch,708,0
1194,635,branch,708,1
1195,635,branch,734,0
1196,635,branch,734,1
1197,635,branch,762,0
1198,635,branch,762,1
1199,635,branch,763,0
1200,635,branch,763,1
1201,635,net,,0
1202,635,net,,1
1203,640,net,,0
1204,640,net,,1
1205,641,branch,713,0
1206,641,branch,713,1
1207,641,branch,717,0
1208,641,branch,717,1
1209,641,net,,0
1210,641,net,,1
1211,644,branch,717,0
1212,644,branch,717,1
1213,644,branch,733,0
1214,644,branch,733,1
1215,644,branch,734,0
1216,644,branch,734,1
1217,644,branch,761,0
1218,644,branch,761,1
1219,644,branch,763,0
1220,644,branch,763,1
1221,644,net,,0
1222,644,net,,1
1223,650,net,,0
1224,650,net,,1
1225,651,branch,722,0
1226,651,branch,722,1
1227,651,branch,727,0
1228,651,branch,727,1
1229,651,net,,0
1230,651,net,,1
1231,654,branch,727,0
1232,654,branch,727,1
1233,654,branch,732,0
1234,654,branch,732,1
1235,654,branch,733,0
1236,654,branch,733,1
1237,654,branch,734,0
1238,654,branch,734,1
1239,654,net,,0
1240,654,net,,1
1241,659,net,,0
1242,659,net,,1
1243,660,net,,0
1244,660,net,,1
1245,661,net,,0
1246,661,net,,1
1247,662,branch,735,0
1248,662,branch,735,1
1249,662,branch,737,0
1250,662,branch,737,1
1251,662,net,,0
1252,662,net,,1
1253,665,branch,736,0
1254,665,branch,736,1
1255,665,branch,830,0
1256,665,branch,830,1
1257,665,branch,831,0
1258,665,branch,831,1
1259,665,net,,0
1260,665,net,,1
1261,669,net,,0
1262,669,net,,1
1263,670,branch,738,0
1264,670,branch,738,1
1265,670,branch,740,0
1266,670,branch,740,1
1267,670,net,,0
1268,670,net,,1
1269,673,branch,739,0
1270,673,branch,739,1
1271,673,branch,832,0
1272,673,branch,832,1
1273,673,branch,833,0
1274,673,branch,833,1
1275,673,net,,0
1276,673,net,,1
1277,677,net,,0
1278,677,net,,1
1279,678,branch,741,0
1280,678,branch,741,1
1281,678,branch,743,0
1282,678,branch,743,1
1283,678,branch,765,0
1284,678,branch,765,1
1285,678,net,,0
1286,678,net,,1
1287,68,branch,284,0
1288,68,branch,284,1
1289,68,branch,285,0
1290,68,branch,285,1
1291,68,branch,286,0
1292,68,branch,286,1
1293,68,net,,0
1294,68,net,,1
1295,682,branch,742,0
1296,682,branch,742,1
1297,682,branch,834,0
1298,682,branch,834,1
1299,682,branch,835,0
1300,682,branch,835,1
1301,682,net,,0
1302,682,net,,1
1303,686,net,,0
1304,686,net,,1
1305,687,branch,744,0
1306,687,branch,744,1
1307,687,branch,746,0
1308,687,branch,746,1
1309,687,branch,764,0
1310,687,branch,764,1
1311,687,branch,766,0
1312,687,branch,766,1
1313,687,net,,0
1314,687,net,,1
1315,692,branch,745,0
1316,692,branch,745,1
1317,692,branch,806,0
1318,692,branch,806,1
1319,692,branch,807,0
1320,692,branch,807,1
1321,692,net,,0
1322,692,net,,1
1323,696,net,,0
1324,696,net,,1
1325,697,branch,747,0
1326,697,branch,747,1
1327,697,branch,749,0
1328,697,branch,749,1
1329,697,net,,0
1330,697,net,,1
1331,700,branch,748,0
1332,700,branch,748,1
1333,700,branch,788,0
1334,700,branch,788,1
1335,700,branch,789,0
1336,700,branch,789,1
1337,700,net,,0
1338,700,net,,1
1339,704,net,,0
1340,704,net,,1
1341,705,branch,750,0
1342,705,branch,750,1
1343,705,branch,752,0
