signal, type    , CC0, CC1, CO
   466, INTERNAL,   7,  11, 28
   475, INTERNAL,   2,  12, 29
   476, INTERNAL,   3,  15, 28
   477, INTERNAL,   2,  12, 29
   478, INTERNAL,   3,  15, 28
   479, INTERNAL,   2,  12, 29
   480, INTERNAL,   3,  15, 28
   481, INTERNAL,   2,  12, 29
   482, INTERNAL,   3,  15, 28
   483, INTERNAL,   4,   2, 28
   488, INTERNAL,  16,   3, 25
   489, INTERNAL,  16,   3, 27
   490, INTERNAL,  16,   3, 27
   491, INTERNAL,  16,   3, 27
   492, INTERNAL,  10,  13, 21
   495, INTERNAL,  10,  13, 21
   498, INTERNAL,  15,   2, 19
   499, INTERNAL,  12,   2, 19
   500, INTERNAL,  15,   2, 19
   501, INTERNAL,  12,   2, 19
   502, INTERNAL,   2,  13, 29
   503, INTERNAL,  13,   6, 25
   504, INTERNAL,   2,  13, 29
   505, INTERNAL,  13,   6, 25
   506, INTERNAL,   2,  13, 29
   507, INTERNAL,  13,   6, 25
   508, INTERNAL,   2,  13, 29
   509, INTERNAL,  13,   6, 25
   510, INTERNAL,   2,   4, 26
   511, INTERNAL,   2,  13, 26
   512, INTERNAL,   2,   4, 28
   513, INTERNAL,   2,  13, 28
   514, INTERNAL,   2,   4, 28
   515, INTERNAL,   2,  13, 28
   516, INTERNAL,   2,   4, 28
   517, INTERNAL,   2,  13, 28
   518, INTERNAL,  15,   2, 19
   519, INTERNAL,  12,   2, 19
   520, INTERNAL,  15,   2, 19
   521, INTERNAL,  12,   2, 19
   522, INTERNAL,   2,  17, 17
   523, INTERNAL,   2,  17, 17
   524, INTERNAL,   2,  17, 17
   525, INTERNAL,   2,  17, 17
   526, INTERNAL,   2,  17, 17
   527, INTERNAL,  17,   2, 19
   528, INTERNAL,  17,   2, 19
   529, INTERNAL,  17,   2, 19
   530, INTERNAL,   5,  13, 16
   533, INTERNAL,   5,  13, 16
   536, INTERNAL,   4,   5, 26
   537, INTERNAL,   4,   5, 26
   538, INTERNAL,   4,   5, 26
   539, INTERNAL,   4,   5, 26
   540, INTERNAL,   5,   5, 23
   541, INTERNAL,   5,   5, 25
   542, INTERNAL,   5,   5, 25
   543, INTERNAL,   5,   5, 25
   544, INTERNAL,   5,  13, 16
   547, INTERNAL,   5,  13, 16
   550, INTERNAL,  14,   6, 15
   551, INTERNAL,  14,   6, 15
   552, INTERNAL,   6,  27, 17
   553, INTERNAL,  12,   5, 19
   557, INTERNAL,  12,   5, 19
   561, INTERNAL,  12,   5, 19
   565, INTERNAL,  12,   5, 19
   569, INTERNAL,   9,   6, 19
   573, INTERNAL,   9,   6, 21
   577, INTERNAL,   9,   6, 21
   581, INTERNAL,   9,   6, 21
   585, INTERNAL,  14,   6, 15
   586, INTERNAL,  14,   6, 15
   587, INTERNAL,   6,  27, 17
   588, INTERNAL,  15,  13,  8
   589, INTERNAL,  15,  13,  8
   590, INTERNAL,   7,   2, 20
   593, INTERNAL,  14,   2, 18
   596, INTERNAL,   2,   7, 17
   597, INTERNAL,   7,   2, 20
   600, INTERNAL,  14,   2, 22
   605, INTERNAL,   2,   7, 17
   606, INTERNAL,   7,   2, 20
   609, INTERNAL,  14,   2, 22
   615, INTERNAL,   2,   7, 17
   616, INTERNAL,   7,   2, 20
   619, INTERNAL,  14,   2, 22
   624, INTERNAL,   2,   7, 17
   625, INTERNAL,   8,   2, 20
   628, INTERNAL,  11,   2, 22
   631, INTERNAL,   2,   8, 17
   632, INTERNAL,   8,   2, 22
   635, INTERNAL,  11,   2, 24
   640, INTERNAL,   2,   8, 19
   641, INTERNAL,   8,   2, 22
   644, INTERNAL,  11,   2, 24
   650, INTERNAL,   2,   8, 19
   651, INTERNAL,   8,   2, 22
   654, INTERNAL,  11,   2, 24
   659, INTERNAL,   2,   8, 19
   660, INTERNAL,  14,  22,  1
   661, INTERNAL,  14,  22,  1
   662, INTERNAL,   3,   8, 19
   665, INTERNAL,   8,   5, 19
   669, INTERNAL,   8,   5, 14
   670, INTERNAL,   3,   8, 19
   673, INTERNAL,   8,   5, 19
   677, INTERNAL,   8,   5, 14
   678, INTERNAL,   3,   8, 19
   682, INTERNAL,   8,   5, 19
   686, INTERNAL,   8,   5, 14
   687, INTERNAL,   3,   8, 19
   692, INTERNAL,   8,   5, 19
   696, INTERNAL,   8,   5, 14
   697, INTERNAL,   3,   9, 19
   700, INTERNAL,   9,   5, 19
   704, INTERNAL,   9,   5, 14
   705, INTERNAL,   3,   9, 21
   708, INTERNAL,   9,   5, 21
   712, INTERNAL,   4,   5, 16
   713, INTERNAL,   3,   9, 21
   717, INTERNAL,   9,   5, 21
   721, INTERNAL,   4,   5, 16
   722, INTERNAL,   3,   9, 21
   727, INTERNAL,   9,   5, 21
   731, INTERNAL,   4,   5, 16
   732, INTERNAL,   4,   2, 39
   733, INTERNAL,   6,   2, 43
   734, INTERNAL,   8,   2, 45
   735, INTERNAL,   9,   4, 18
   736, INTERNAL,   2,   7, 17
   737, INTERNAL,   2,  10, 17
   738, INTERNAL,   9,   4, 34
   739, INTERNAL,   2,   7, 17
   740, INTERNAL,   2,  10, 17
   741, INTERNAL,   9,   4, 52
   742, INTERNAL,   2,   7, 17
   743, INTERNAL,   2,  10, 17
   744, INTERNAL,   9,   4, 48
   745, INTERNAL,   2,   7, 17
   746, INTERNAL,   2,  10, 17
   747, INTERNAL,  10,   4, 43
   748, INTERNAL,   2,   7, 17
   749, INTERNAL,   2,  11, 17
   750, INTERNAL,  10,   4, 43
   751, INTERNAL,   2,   7, 19
   752, INTERNAL,   2,  11, 19
   753, INTERNAL,  10,   4, 41
   754, INTERNAL,   2,   7, 19
   755, INTERNAL,   2,  11, 19
   756, INTERNAL,  10,   4, 37
   757, INTERNAL,   2,  11, 24
   758, INTERNAL,   2,   7, 24
   759, INTERNAL,   2,   7, 19
   760, INTERNAL,   2,  11, 19
   761, INTERNAL,  12,   4, 41
   762, INTERNAL,  12,   4, 43
   763, INTERNAL,  14,   4, 43
   764, INTERNAL,  11,   4, 52
   765, INTERNAL,  11,   4, 34
   766, INTERNAL,  13,   4, 34
   767, PO      ,  15,  23,  0
   768, PO      ,  15,  23,  0
   769, INTERNAL,   8,   5, 14
   770, INTERNAL,   8,   5, 14
   771, INTERNAL,   8,   5, 14
   772, INTERNAL,   8,   5, 14
   773, INTERNAL,  15,   9, 32
   777, INTERNAL,   8,   5, 14
   778, INTERNAL,  11,   7, 34
   781, INTERNAL,   8,   5, 16
   782, INTERNAL,   7,   5, 34
   785, INTERNAL,   8,   5, 16
   786, INTERNAL,   8,   5, 21
   787, INTERNAL,   8,   5, 16
   788, INTERNAL,   6,  25, 30
   789, INTERNAL,  10,  15, 26
   790, INTERNAL,   6,  21, 32
   791, INTERNAL,  10,  13, 28
   792, INTERNAL,   6,  17, 30
   793, INTERNAL,   8,  11, 28
   794, INTERNAL,   2,   7, 19
   795, INTERNAL,  12,  12, 35
   796, INTERNAL,  17,  11, 30
   802, INTERNAL,  16,  17, 19
   803, INTERNAL,  14,  17, 21
   804, INTERNAL,  12,  15, 21
   805, INTERNAL,   4,   5, 16
   806, INTERNAL,   6,  26, 29
   807, INTERNAL,   9,  17, 26
   808, INTERNAL,   2,  19, 17
   809, INTERNAL,   2,  19, 19
   810, INTERNAL,   2,  17, 19
   811, INTERNAL,  18,   5,  3
   812, INTERNAL,  14,  15, 37
   813, INTERNAL,  16,  15, 41
   814, INTERNAL,  18,  15, 23
   815, INTERNAL,  28,  10, 10
   819, INTERNAL,  24,  10, 32
   822, INTERNAL,  20,  10, 32
   825, INTERNAL,  18,  16, 19
   826, INTERNAL,   4,   5, 14
   827, INTERNAL,   4,   5, 16
   828, INTERNAL,   4,   5, 16
   829, INTERNAL,   6,  19,  2
   830, INTERNAL,   6,  37, 29
   831, INTERNAL,   9,  16, 26
   832, INTERNAL,   6,  33, 29
   833, INTERNAL,   9,  16, 26
   834, INTERNAL,   6,  29, 29
   835, INTERNAL,   9,  16, 26
   836, INTERNAL,   2,  18, 17
   837, INTERNAL,  16,   5,  3
   838, INTERNAL,  18,   5,  3
   839, INTERNAL,  18,   5,  3
   840, INTERNAL,  20,   7,  1
   841, INTERNAL,  13,  15,  7
   842, INTERNAL,  17,  16, 19
   843, INTERNAL,  17,  16, 19
   844, INTERNAL,  17,  16, 19
   845, INTERNAL,   4,   5, 14
   846, INTERNAL,   6,  17,  2
   847, INTERNAL,   6,  19,  2
   848, INTERNAL,   6,  19,  2
   849, INTERNAL,  10,  20,  2
   850, PO      ,  21,   8,  0
   851, INTERNAL,   2,  18, 17
   852, INTERNAL,   2,  18, 17
   853, INTERNAL,   2,  18, 17
   854, INTERNAL,  16,   5,  3
   855, INTERNAL,  18,   7,  1
   856, INTERNAL,  20,   7,  1
   857, INTERNAL,  20,   7,  1
   858, INTERNAL,  21,  11,  1
   859, INTERNAL,   6,   5, 14
   860, INTERNAL,   4,   5, 14
   861, INTERNAL,   4,   5, 14
   862, INTERNAL,   6,  17,  2
   863, PO      ,  19,   8,  0
   864, PO      ,  21,   8,  0
   865, PO      ,  21,   8,  0
   866, PO      ,  22,  12,  0
   867, INTERNAL,  16,   7,  3
   868, INTERNAL,  16,   5,  3
   869, INTERNAL,  16,   5,  3
   870, INTERNAL,  18,   7,  1
   871, INTERNAL,   8,  17,  2
   872, INTERNAL,   6,  17,  2
   873, INTERNAL,   6,  17,  2
   874, PO      ,  19,   8,  0
   875, INTERNAL,  18,   9,  1
   876, INTERNAL,  18,   7,  1
   877, INTERNAL,  18,   7,  1
   878, PO      ,  19,  10,  0
   879, PO      ,  19,   8,  0
   880, PO      ,  19,   8,  0
